hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
EL QUIMBO,2023_Q3_labor,100.71027120000001,74.15267999999999
EL QUIMBO,2023_Q4_holidays,130.3040904,77.49339
EL QUIMBO,2023_Q4_labor,180.7863964,8.35747
ESCUELAMINAS,2023_Q1_holidays,17.16885,10.28117
ESCUELAMINAS,2023_Q1_labor,17.089012,0.79247
ESCUELAMINAS,2023_Q2_holidays,35.1576485,12.45958
ESCUELAMINAS,2023_Q2_labor,32.3546965,0.05854
ESCUELAMINAS,2023_Q3_holidays,36.8268648,10.276110000000001
ESCUELAMINAS,2023_Q3_labor,32.841342,1e-05
ESCUELAMINAS,2023_Q4_holidays,37.6839695,8.70785
ESCUELAMINAS,2023_Q4_labor,36.0544036,2.3851
ESMERALDA,2023_Q1_holidays,27.367023500000002,5.9999999999999995e-05
ESMERALDA,2023_Q1_labor,28.1703556,0.00013000000000000002
ESMERALDA,2023_Q2_holidays,30.0241345,0.0002
ESMERALDA,2023_Q2_labor,30.0330254,1e-05
ESMERALDA,2023_Q3_holidays,21.2234038,0.0003
ESMERALDA,2023_Q3_labor,23.224388,1e-05
ESMERALDA,2023_Q4_holidays,21.1377064,8.999999999999999e-05
ESMERALDA,2023_Q4_labor,20.885987800000002,1e-05
GUATAPE,2023_Q1_holidays,520.97136,1.392
GUATAPE,2023_Q1_labor,502.65943,0.672
GUATAPE,2023_Q2_holidays,357.90173,5.856
GUATAPE,2023_Q2_labor,393.89834549999995,0.144
GUATAPE,2023_Q3_holidays,387.2496456,4.944
GUATAPE,2023_Q3_labor,406.6980000000001,0.912
GUATAPE,2023_Q4_holidays,311.7208803,8.688
GUATAPE,2023_Q4_labor,348.3876,0.072
GUAVIO,2023_Q1_holidays,499.07167640000006,0.00148
GUAVIO,2023_Q1_labor,686.8242562,0.01912
GUAVIO,2023_Q2_holidays,322.83867760000004,0.00874
GUAVIO,2023_Q2_labor,475.5101426000001,0.009859999999999999
GUAVIO,2023_Q3_holidays,220.64206460000003,5.9999999999999995e-05
GUAVIO,2023_Q3_labor,366.6935882,0.00091
GUAVIO,2023_Q4_holidays,244.29947680000006,0.00307
GUAVIO,2023_Q4_labor,478.001914,0.00017999999999999998
H_ALBAN,2023_Q1_holidays,37.44166,0.567
H_ALBAN,2023_Q1_labor,223.78880000000004,0.08
H_ALBAN,2023_Q2_holidays,11.716,2.979
H_ALBAN,2023_Q2_labor,207.67916,0.078
H_ALBAN,2023_Q3_holidays,5.016,2.799
H_ALBAN,2023_Q3_labor,42.56881,2.892
H_ALBAN,2023_Q4_holidays,5.073,2.913
H_ALBAN,2023_Q4_labor,176.45188000000002,2.778
H_GUATRON,2023_Q1_holidays,505.743,2.24973
H_GUATRON,2023_Q1_labor,435.4154,0.05814
H_GUATRON,2023_Q2_holidays,436.95125540000004,1.9493800000000001
H_GUATRON,2023_Q2_labor,433.23885559999997,0.09
H_GUATRON,2023_Q3_holidays,309.87271000000004,1.38
H_GUATRON,2023_Q3_labor,312.72,0.06
H_GUATRON,2023_Q4_holidays,352.06882,0.03
H_GUATRON,2023_Q4_labor,429.44,0.06
H_PAGUA,2023_Q1_holidays,400.18403559999996,1e-05
H_PAGUA,2023_Q1_labor,398.82479,1e-05
H_PAGUA,2023_Q2_holidays,480.1830839,0.00117
H_PAGUA,2023_Q2_labor,400.536982,1e-05
H_PAGUA,2023_Q3_holidays,509.367011,0.0014
H_PAGUA,2023_Q3_labor,399.68703170000003,1e-05
H_PAGUA,2023_Q4_holidays,396.702772,1e-05
H_PAGUA,2023_Q4_labor,398.7487592,1e-05
ITUANGO,2023_Q1_holidays,271.8920462,1.10715
ITUANGO,2023_Q1_labor,270.066356,0.0001
ITUANGO,2023_Q2_holidays,534.9565822,266.86046000000005
ITUANGO,2023_Q2_labor,272.8279902,0.00076
ITUANGO,2023_Q3_holidays,270.9086646,2.29334
ITUANGO,2023_Q3_labor,271.0163555,0.00852
ITUANGO,2023_Q4_holidays,559.947898,171.64973
ITUANGO,2023_Q4_labor,585.41661,0.00043
JAGUAS,2023_Q1_holidays,94.6223681,0.28169
JAGUAS,2023_Q1_labor,94.9634859,0.054299999999999994
JAGUAS,2023_Q2_holidays,95.34101749999999,1.0511300000000001
JAGUAS,2023_Q2_labor,85.386254,0.00202
JAGUAS,2023_Q3_holidays,105.1118152,3.41509
JAGUAS,2023_Q3_labor,112.76181039999999,0.6987599999999999
JAGUAS,2023_Q4_holidays,119.5016842,1.77504
JAGUAS,2023_Q4_labor,100.7434874,0.00079
