GEN_BLD_SUSPEND_YRS_1,GEN_BLD_SUSPEND_YRS_2,GEN_BLD_SUSPEND_YRS_3,SuspendGen
H_ElLimonar,2003,2025,0.0
H_ElLimonar,2003,2030,0.0
H_ElLimonar,2003,2035,0.0
H_ElLimonar,2003,2040,0.0
H_ElLimonar,2003,2045,0.0
H_ElLimonar,2003,2050,0.0
H_LAGUNETA,2014,2023,0.0
H_LAGUNETA,2014,2025,0.0
H_LAGUNETA,2014,2030,0.0
H_LAGUNETA,2014,2035,0.0
H_LAGUNETA,2014,2040,0.0
H_LAGUNETA,2014,2045,0.0
H_LAGUNETA,2014,2050,0.0
TERMO YOPAL2,2004,2023,0.0
TERMO YOPAL2,2004,2025,0.0
TERMO YOPAL2,2004,2030,0.0
TERMO YOPAL2,2004,2035,0.0
TERMO YOPAL2,2004,2040,0.0
TERMO YOPAL2,2004,2045,0.0
TERMO YOPAL2,2004,2050,0.0
FLORES4,2010,2023,0.0
FLORES4,2010,2025,0.0
FLORES4,2010,2030,0.0
FLORES4,2010,2035,0.0
FLORES4,2010,2040,0.0
FLORES4,2010,2045,0.0
FLORES4,2010,2050,0.0
TERMOVALLE,2011,2023,0.0
TERMOVALLE,2011,2025,0.0
TERMOVALLE,2011,2030,0.0
TERMOVALLE,2011,2035,0.0
TERMOVALLE,2011,2040,0.0
TERMOVALLE,2011,2045,0.0
TERMOVALLE,2011,2050,0.0
DARIO VALENC,2014,2023,0.0
DARIO VALENC,2014,2025,0.0
DARIO VALENC,2014,2030,0.0
DARIO VALENC,2014,2035,0.0
DARIO VALENC,2014,2040,0.0
DARIO VALENC,2014,2045,0.0
DARIO VALENC,2014,2050,0.0
SALTO II,2014,2023,0.0
SALTO II,2014,2025,0.0
SALTO II,2014,2030,0.0
SALTO II,2014,2035,0.0
SALTO II,2014,2040,0.0
SALTO II,2014,2045,0.0
SALTO II,2014,2050,0.0
EL QUIMBO,2015,2023,0.0
EL QUIMBO,2015,2025,0.0
EL QUIMBO,2015,2030,0.0
EL QUIMBO,2015,2035,0.0
EL QUIMBO,2015,2040,0.0
EL QUIMBO,2015,2045,0.0
EL QUIMBO,2015,2050,0.0
TASAJERO 2,2015,2023,0.0
TASAJERO 2,2015,2025,0.0
TASAJERO 2,2015,2030,0.0
TASAJERO 2,2015,2035,0.0
TASAJERO 2,2015,2040,0.0
TASAJERO 2,2015,2045,0.0
TASAJERO 2,2015,2050,0.0
TC_GECELCA3,2015,2023,0.0
TC_GECELCA3,2015,2025,0.0
TC_GECELCA3,2015,2030,0.0
TC_GECELCA3,2015,2035,0.0
TC_GECELCA3,2015,2040,0.0
TC_GECELCA3,2015,2045,0.0
TC_GECELCA3,2015,2050,0.0
TC_GECELCA32,2018,2023,0.0
TC_GECELCA32,2018,2025,0.0
TC_GECELCA32,2018,2030,0.0
TC_GECELCA32,2018,2035,0.0
TC_GECELCA32,2018,2040,0.0
TC_GECELCA32,2018,2045,0.0
TC_GECELCA32,2018,2050,0.0
TERMONORTE,2018,2023,0.0
TERMONORTE,2018,2025,0.0
TERMONORTE,2018,2030,0.0
TERMONORTE,2018,2035,0.0
TERMONORTE,2018,2040,0.0
TERMONORTE,2018,2045,0.0
TERMONORTE,2018,2050,0.0
TERMOYOPALG3,2020,2023,0.0
TERMOYOPALG3,2020,2025,0.0
TERMOYOPALG3,2020,2030,0.0
TERMOYOPALG3,2020,2035,0.0
TERMOYOPALG3,2020,2040,0.0
TERMOYOPALG3,2020,2045,0.0
TERMOYOPALG3,2020,2050,0.0
TERMOYOPALG4,2020,2023,0.0
TERMOYOPALG4,2020,2025,0.0
TERMOYOPALG4,2020,2030,0.0
TERMOYOPALG4,2020,2035,0.0
