GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
H_SanJosMoII,2023,Hidro,Antioquia,Water,1.1,0,.,305217,48158
H_SanJosMoII,2026,Hidro,Antioquia,Water,1.1,0,.,305217,48158
H_SanMatias,2023,Hidro,Antioquia,Water,19.9,0,.,5.52165e+06,871222
H_SanMatias,2026,Hidro,Antioquia,Water,19.9,0,.,5.52165e+06,871222
H_SantaAna,2023,Hidro,Oriental,Water,8,0,.,2.21976e+06,350240
H_SantaAna,2026,Hidro,Oriental,Water,8,0,.,2.21976e+06,350240
H_SantaRita,2023,Hidro,Antioquia,Water,1.3,0,.,360711,56914
H_SantaRita,2026,Hidro,Antioquia,Water,1.3,0,.,360711,56914
H_Santiago,2023,Hidro,Antioquia,Water,2.8,0,.,776916,122584
H_Santiago,2026,Hidro,Antioquia,Water,2.8,0,.,776916,122584
H_SBartolome,2023,Hidro,Nordeste,Water,19.9,0,.,5.52165e+06,871222
H_SBartolome,2026,Hidro,Nordeste,Water,19.9,0,.,5.52165e+06,871222
H_SFrancisPu,2023,Hidro,Surocciden,Water,0.468,0,.,129856,20489
H_SFrancisPu,2026,Hidro,Surocciden,Water,0.468,0,.,129856,20489
H_Silvia,2023,Hidro,Surocciden,Water,0.38,0,.,105439,16636.4
H_Silvia,2026,Hidro,Surocciden,Water,0.38,0,.,105439,16636.4
H_Suba,2023,Hidro,Oriental,Water,2.6,0,.,721422,113828
H_Suba,2026,Hidro,Oriental,Water,2.6,0,.,721422,113828
H_Sueva2,2023,Hidro,Oriental,Water,6,0,.,1.66482e+06,262680
H_Sueva2,2026,Hidro,Oriental,Water,6,0,.,1.66482e+06,262680
H_TuluaAlto,2023,Hidro,Surocciden,Water,19.9,0,.,2.53427e+06,871222
H_TuluaAlto,2026,Hidro,Surocciden,Water,19.9,0,.,2.53427e+06,871222
H_TuluaBajo,2023,Hidro,Surocciden,Water,19.9,0,.,2.53606e+06,871222
H_TuluaBajo,2026,Hidro,Surocciden,Water,19.9,0,.,2.53606e+06,871222
H_Tunjita,2023,Hidro,Oriental,Water,19.7,0,.,2.51411e+06,862466
H_Tunjita,2026,Hidro,Oriental,Water,19.7,0,.,2.51411e+06,862466
H_Union,2023,Hidro,Surocciden,Water,0.7,0,.,194229,30646
H_Union,2026,Hidro,Surocciden,Water,0.7,0,.,194229,30646
H_Urrao,2023,Hidro,Antioquia,Water,1.03,0,.,285794,45093.4
H_Urrao,2026,Hidro,Antioquia,Water,1.03,0,.,285794,45093.4
H_Usaquen,2023,Hidro,Oriental,Water,1.8,0,.,499446,78804
H_Usaquen,2026,Hidro,Oriental,Water,1.8,0,.,499446,78804
H_AutGold,2023,Hidro,Antioquia,Water,1,0,.,277470,43780
