gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Hidro,Antioquia,Water,2040,42806.19469786094,59497946.20511068,0.0,6884.46000063474,1252603506.369965,301401658.8298709,37.69321526460222,0.7097945090389041,0.0,0.0
Hidro,Antioquia,Water,2045,43141.33821808313,59963795.69985527,0.0,6884.460001090939,1252603506.5104241,301401658.8513396,37.41119371176825,0.7153517193923026,0.0,0.0
Hidro,Antioquia,Water,2050,44969.345085858804,62794856.44248985,0.0,7068.460001489277,1309255268.4862325,310060698.87008536,37.40572206660332,0.7262525190587142,0.0,0.0
Hidro,Caribe,Water,2023,1210.7068681251465,1682882.5466939532,0.0,342.9,94389474.08762093,15012162.0,91.75178695924642,0.4030578786515852,0.0,0.0
Hidro,Caribe,Water,2025,1210.706868348384,1682882.5470042531,0.0,342.9,94389474.08762093,15012162.0,91.75178694258496,0.40305787872590354,0.0,0.0
Hidro,Caribe,Water,2030,1210.7068680740626,1682882.5466229469,0.0,342.9,94389474.08762093,15012162.0,91.75178696305908,0.4030578786345789,0.0,0.0
Hidro,Caribe,Water,2035,1210.7068220271567,1682882.4826177475,0.0,342.9,94389474.08762093,15012162.0,91.75179039979591,0.40305786330504806,0.0,0.0
Hidro,Caribe,Water,2040,1203.29659962665,1672582.2734810438,0.0,342.9,94389474.08762093,15012162.0,92.3082624812247,0.40059091725913204,0.0,0.0
Hidro,Caribe,Water,2045,1153.7055812091337,1603650.7578806956,0.0,342.9,94389474.08762093,15012162.0,96.21630392839329,0.38408151171285926,0.0,0.0
Hidro,Caribe,Water,2050,1207.9730986644486,1679082.6071435832,0.0,342.9,94389474.08762093,15012162.0,91.95628513381372,0.40214777617462666,0.0,0.0
Hidro,Nordeste,Water,2023,5022.276248742563,6980963.985752163,0.0,882.2,119845587.9203285,38622716.0,32.94308391488909,0.6498744122392445,0.0,0.0
Hidro,Nordeste,Water,2025,5022.276248969289,6980963.98606731,0.0,882.2,119845587.9203285,38622716.0,32.943083913464655,0.6498744122685823,0.0,0.0
Hidro,Nordeste,Water,2030,5022.276248651253,6980963.985625241,0.0,882.2,119845587.9203285,38622716.0,32.94308391546276,0.649874412227429,0.0,0.0
Hidro,Nordeste,Water,2035,5022.276248234632,6980963.985046138,0.0,882.2,119845587.9203285,38622716.0,32.94308391808025,0.6498744121735188,0.0,0.0
Hidro,Nordeste,Water,2040,5022.276217748402,6980963.942670278,0.0,882.2,119845587.9203285,38622716.0,32.94308410961382,0.6498744082286501,0.0,0.0
Hidro,Nordeste,Water,2045,5022.276217372897,6980963.942148326,0.0,882.2,119845587.9203285,38622716.0,32.94308411197298,0.6498744081800604,0.0,0.0
Hidro,Nordeste,Water,2050,5022.2762486538995,6980963.985628919,0.0,882.2,119845587.9203285,38622716.0,32.94308391544614,0.6498744122277714,0.0,0.0
Hidro,Oriental,Water,2023,9312.20993018249,12943971.802953659,0.0,2415.0,306395515.0226557,105728700.0,45.646327779605734,0.44018122702395074,0.0,0.0
Hidro,Oriental,Water,2025,9312.209930406585,12943971.803265149,0.0,2415.0,306395515.0226557,105728700.0,45.64632777854072,0.44018122703454354,0.0,0.0
