gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Hidro,Water,2027,69254.62108642767,96261258.88634565,0.0,13591.50200011118,2154141356.3394184,595035957.5652322,41.08662394152695,0.5816707132713911,0.0,0.0
Hidro,Water,2028,68989.8090666091,95893170.17965056,0.0,13591.50200015017,2154141356.3514233,595035957.567067,41.238996347290204,0.5794465527150348,0.0,0.0
Hidro,Water,2029,69123.54196898769,96079058.91299397,0.0,13591.50200018326,2154141356.361611,595035957.5686243,41.16190073303469,0.580569777582863,0.0,0.0
Hidro,Water,2030,69478.23114367388,96572076.86573435,0.0,13591.502000233886,2154141356.377198,595035957.5710067,40.95886357453776,0.5835488178525408,0.0,0.0
Hidro,Water,2031,69772.734708497,96981436.82073835,0.0,13591.502000277473,2154141356.3906183,595035957.5730579,40.791847455533464,0.5860223581851943,0.0,0.0
Hidro,Water,2032,69505.89514315495,96610529.82504915,0.0,13591.502000312708,2154141356.401467,595035957.5747161,40.94311479537127,0.5837811682404721,0.0,0.0
Hidro,Water,2033,69507.82948117192,96613218.55493566,0.0,13591.50200034754,2154141356.412191,595035957.5763552,40.942014069283246,0.5837974147761221,0.0,0.0
Hidro,Water,2034,69376.35967311688,96430475.52305983,0.0,13591.502000383525,2154141356.4232707,595035957.5780487,41.01696605201157,0.5826931976721818,0.0,0.0
Hidro,Water,2035,69069.88918476012,96004481.54334322,0.0,13591.502000419372,2154141356.4343076,595035957.5797358,41.1927951403918,0.580119146946541,0.0,0.0
RunOfRiver,Water,2023,3867.0128654285536,5375147.882945689,0.0,782.05,116267831.30329473,34238149.0,40.310475711066765,0.564464963647607,0.0,0.0
RunOfRiver,Water,2024,3867.0128654088785,5375147.882918339,0.0,782.05,116267831.30329473,34238149.0,40.31047571126479,0.564464963644735,0.0,0.0
RunOfRiver,Water,2025,3867.012865441827,5375147.88296414,0.0,782.05,116267831.30329473,34238149.0,40.31047571093317,0.5644649636495446,0.0,0.0
RunOfRiver,Water,2026,3788.988297302427,5266693.733250373,0.0,782.05,116267831.30329473,34238149.0,41.11194382612572,0.5530757760385677,0.0,0.0
RunOfRiver,Water,2027,3808.334924671497,5293585.54529338,0.0,782.05,116267831.30329473,34238149.0,40.91015336893649,0.5558997887053514,0.0,0.0
RunOfRiver,Water,2028,3793.494746984875,5272957.698308975,0.0,782.05,116267831.30329473,34238149.0,41.06475648224347,0.5537335791141468,0.0,0.0
RunOfRiver,Water,2029,3809.442328412233,5295124.836493003,0.0,782.05,116267831.30329473,34238149.0,40.89866487222167,0.5560614355976714,0.0,0.0
RunOfRiver,Water,2030,3839.847176574771,5337387.575438932,0.0,782.05,116267831.30329473,34238149.0,40.58582561031749,0.5604996084484039,0.0,0.0
RunOfRiver,Water,2031,3867.0128646583657,5375147.881875128,0.0,782.05,116267831.30329473,34238149.0,40.31047571881851,0.5644649635351833,0.0,0.0
RunOfRiver,Water,2032,3837.748512850277,5334470.432861885,0.0,782.05,116267831.30329473,34238149.0,40.60725975512519,0.5601932680807403,0.0,0.0
RunOfRiver,Water,2033,3825.7779120260475,5317831.297716205,0.0,782.05,116267831.30329473,34238149.0,40.7299679135034,0.558445928468944,0.0,0.0
RunOfRiver,Water,2034,3826.2257377118253,5318453.775419437,0.0,782.05,116267831.30329473,34238149.0,40.72536352021429,0.5585112972479578,0.0,0.0
RunOfRiver,Water,2035,3801.0304055460783,5283432.263709049,0.0,782.05,116267831.30329473,34238149.0,40.98610006899487,0.5548335535346715,0.0,0.0
Thermal,ACPM,2023,2.1975838219245043e-06,0.020437529543897895,0.0011773543611946346,1041.0,202347726.61909693,149092020.0,159920974632.84286,2.4098533438655574e-10,0.0,0.0
Thermal,ACPM,2024,135.46714588332233,1259844.4567148979,66238.88277148422,1041.0,202347726.61909693,149092020.0,2603.5802908226283,0.01485522195940441,0.0,0.0
Thermal,ACPM,2025,578.6145646433362,5381115.451183027,284619.7750009306,1041.0,202347726.61909693,149092020.0,616.6814385155133,0.06345042357446695,0.0,0.0
Thermal,ACPM,2026,29.545304140314396,274771.3285049239,15111.519036783924,1041.0,202347726.61909693,149092020.0,11904.244284549079,0.003239915095284477,0.0,0.0
