,timestamp,Values_Type,GeneReal
139,2023_Q1_labor_12h,TERMICA,1500944.0777922077
140,2023_Q1_labor_13h,COGENERADOR,98811.80623376624
141,2023_Q1_labor_13h,EOLICA,23442.56116883117
142,2023_Q1_labor_13h,HIDRAULICA,8126444.00987013
143,2023_Q1_labor_13h,SOLAR,268744.2092207792
144,2023_Q1_labor_13h,TERMICA,1522193.358051948
145,2023_Q1_labor_14h,COGENERADOR,99388.19077922078
146,2023_Q1_labor_14h,EOLICA,24919.838571428572
147,2023_Q1_labor_14h,HIDRAULICA,8147603.70961039
148,2023_Q1_labor_14h,SOLAR,258126.19844155846
149,2023_Q1_labor_14h,TERMICA,1535453.9
150,2023_Q1_labor_15h,COGENERADOR,98410.08064935065
151,2023_Q1_labor_15h,EOLICA,25153.357272727273
152,2023_Q1_labor_15h,HIDRAULICA,8255349.431818182
153,2023_Q1_labor_15h,SOLAR,239455.20363636364
154,2023_Q1_labor_15h,TERMICA,1548517.358051948
155,2023_Q1_labor_16h,COGENERADOR,98630.18675324676
156,2023_Q1_labor_16h,EOLICA,25412.010779220782
157,2023_Q1_labor_16h,HIDRAULICA,8262905.646883116
158,2023_Q1_labor_16h,SOLAR,202477.61922077922
159,2023_Q1_labor_16h,TERMICA,1559180.1983116881
160,2023_Q1_labor_17h,COGENERADOR,100668.08961038961
161,2023_Q1_labor_17h,EOLICA,25684.6287012987
162,2023_Q1_labor_17h,HIDRAULICA,8166618.150389611
163,2023_Q1_labor_17h,SOLAR,124745.2374025974
164,2023_Q1_labor_17h,TERMICA,1559799.1
165,2023_Q1_labor_18h,COGENERADOR,102324.21636363637
166,2023_Q1_labor_18h,EOLICA,25767.29246753247
167,2023_Q1_labor_18h,HIDRAULICA,8063414.943116883
168,2023_Q1_labor_18h,SOLAR,20751.73103896104
169,2023_Q1_labor_18h,TERMICA,1559831.9435064937
170,2023_Q1_labor_19h,COGENERADOR,102965.98753246754
171,2023_Q1_labor_19h,EOLICA,25367.38194805195
172,2023_Q1_labor_19h,HIDRAULICA,8563897.70025974
173,2023_Q1_labor_19h,SOLAR,12.545194805194805
174,2023_Q1_labor_19h,TERMICA,1598177.7481818183
175,2023_Q1_labor_1h,COGENERADOR,104699.43584415584
176,2023_Q1_labor_1h,EOLICA,20540.196103896105
177,2023_Q1_labor_1h,HIDRAULICA,6576691.520779221
178,2023_Q1_labor_1h,SOLAR,0.03298701298701299
179,2023_Q1_labor_1h,TERMICA,1417712.1454545455
180,2023_Q1_labor_20h,COGENERADOR,103478.99103896104
181,2023_Q1_labor_20h,EOLICA,24303.351818181818
182,2023_Q1_labor_20h,HIDRAULICA,8671519.088701298
183,2023_Q1_labor_20h,SOLAR,0.0005194805194805195
184,2023_Q1_labor_20h,TERMICA,1615917.687922078
185,2023_Q1_labor_21h,COGENERADOR,104917.70623376624
186,2023_Q1_labor_21h,EOLICA,23228.203896103896
187,2023_Q1_labor_21h,HIDRAULICA,8411898.743896104
188,2023_Q1_labor_21h,SOLAR,0.0007792207792207792
189,2023_Q1_labor_21h,TERMICA,1616243.6801298703
190,2023_Q1_labor_22h,COGENERADOR,104886.59181818183
191,2023_Q1_labor_22h,EOLICA,22795.65974025974
192,2023_Q1_labor_22h,HIDRAULICA,8019849.319999999
193,2023_Q1_labor_22h,SOLAR,0.0
194,2023_Q1_labor_22h,TERMICA,1580508.2994805195
195,2023_Q1_labor_23h,COGENERADOR,105346.88155844156
196,2023_Q1_labor_23h,EOLICA,22503.550909090907
197,2023_Q1_labor_23h,HIDRAULICA,7468387.998831169
198,2023_Q1_labor_23h,SOLAR,0.0
199,2023_Q1_labor_23h,TERMICA,1544416.3675324675
200,2023_Q1_labor_2h,COGENERADOR,105446.95246753246
201,2023_Q1_labor_2h,EOLICA,19905.5512987013
202,2023_Q1_labor_2h,HIDRAULICA,6348364.2123376625
203,2023_Q1_labor_2h,SOLAR,0.04389610389610389
204,2023_Q1_labor_2h,TERMICA,1370235.328961039
205,2023_Q1_labor_3h,COGENERADOR,105201.75246753247
206,2023_Q1_labor_3h,EOLICA,19210.12909090909
207,2023_Q1_labor_3h,HIDRAULICA,6191568.1296103895
208,2023_Q1_labor_3h,SOLAR,0.031818181818181815
209,2023_Q1_labor_3h,TERMICA,1329130.765194805
210,2023_Q1_labor_4h,COGENERADOR,106121.5516883117
211,2023_Q1_labor_4h,EOLICA,17485.991818181818
212,2023_Q1_labor_4h,HIDRAULICA,6116723.455584415
213,2023_Q1_labor_4h,SOLAR,0.03467532467532467
214,2023_Q1_labor_4h,TERMICA,1301934.9536363636
215,2023_Q1_labor_5h,COGENERADOR,105751.3225974026
216,2023_Q1_labor_5h,EOLICA,16509.596363636363
217,2023_Q1_labor_5h,HIDRAULICA,6244810.741818182
218,2023_Q1_labor_5h,SOLAR,0.030779220779220774
219,2023_Q1_labor_5h,TERMICA,1282487.6338961038
220,2023_Q1_labor_6h,COGENERADOR,105771.65935064935
221,2023_Q1_labor_6h,EOLICA,16182.089610389608
222,2023_Q1_labor_6h,HIDRAULICA,6539973.871038961
223,2023_Q1_labor_6h,SOLAR,25.963506493506493
224,2023_Q1_labor_6h,TERMICA,1301343.94
225,2023_Q1_labor_7h,COGENERADOR,104748.33987012987
226,2023_Q1_labor_7h,EOLICA,15538.796233766234
227,2023_Q1_labor_7h,HIDRAULICA,6662229.255584416
228,2023_Q1_labor_7h,SOLAR,19160.86896103896
229,2023_Q1_labor_7h,TERMICA,1334880.0074025972
230,2023_Q1_labor_8h,COGENERADOR,104435.60168831168
231,2023_Q1_labor_8h,EOLICA,15104.08181818182
232,2023_Q1_labor_8h,HIDRAULICA,7008333.75935065
233,2023_Q1_labor_8h,SOLAR,116540.04506493507
234,2023_Q1_labor_8h,TERMICA,1368278.2355844155
235,2023_Q1_labor_9h,COGENERADOR,102765.0638961039
236,2023_Q1_labor_9h,EOLICA,17119.176753246753
237,2023_Q1_labor_9h,HIDRAULICA,7421530.977792207
238,2023_Q1_labor_9h,SOLAR,196936.7483116883
239,2023_Q1_labor_9h,TERMICA,1405524.732207792
240,2023_Q2_holidays_0h,COGENERADOR,68500.10076923078
241,2023_Q2_holidays_0h,EOLICA,19473.95
242,2023_Q2_holidays_0h,HIDRAULICA,6432303.634615385
243,2023_Q2_holidays_0h,SOLAR,0.0
244,2023_Q2_holidays_0h,TERMICA,1321248.6546153848
245,2023_Q2_holidays_10h,COGENERADOR,68022.28
246,2023_Q2_holidays_10h,EOLICA,12177.685384615384
247,2023_Q2_holidays_10h,HIDRAULICA,6409055.970769231
248,2023_Q2_holidays_10h,SOLAR,225353.2876923077
249,2023_Q2_holidays_10h,TERMICA,1097208.1353846153
250,2023_Q2_holidays_11h,COGENERADOR,66538.76846153846
251,2023_Q2_holidays_11h,EOLICA,12657.023846153847
252,2023_Q2_holidays_11h,HIDRAULICA,6640532.416923077
253,2023_Q2_holidays_11h,SOLAR,262800.8623076923
254,2023_Q2_holidays_11h,TERMICA,1116624.3961538463
255,2023_Q2_holidays_12h,COGENERADOR,65401.939230769225
256,2023_Q2_holidays_12h,EOLICA,18147.783846153845
257,2023_Q2_holidays_12h,HIDRAULICA,6821942.157692308
258,2023_Q2_holidays_12h,SOLAR,273586.48615384614
259,2023_Q2_holidays_12h,TERMICA,1135380.3884615384
260,2023_Q2_holidays_13h,COGENERADOR,64315.729230769226
261,2023_Q2_holidays_13h,EOLICA,20402.866153846153
262,2023_Q2_holidays_13h,HIDRAULICA,6904474.543846154
263,2023_Q2_holidays_13h,SOLAR,279066.0984615385
264,2023_Q2_holidays_13h,TERMICA,1145989.4138461538
265,2023_Q2_holidays_14h,COGENERADOR,64689.663076923076
266,2023_Q2_holidays_14h,EOLICA,22658.400769230768
267,2023_Q2_holidays_14h,HIDRAULICA,6887437.827692308
268,2023_Q2_holidays_14h,SOLAR,276977.43153846153
269,2023_Q2_holidays_14h,TERMICA,1155298.9484615384
270,2023_Q2_holidays_15h,COGENERADOR,65349.36307692307
271,2023_Q2_holidays_15h,EOLICA,23894.40846153846
272,2023_Q2_holidays_15h,HIDRAULICA,6769921.76
273,2023_Q2_holidays_15h,SOLAR,253821.24538461538
274,2023_Q2_holidays_15h,TERMICA,1193732.4346153846
275,2023_Q2_holidays_16h,COGENERADOR,64743.769230769234
276,2023_Q2_holidays_16h,EOLICA,24314.299230769233
277,2023_Q2_holidays_16h,HIDRAULICA,6734453.570769231
278,2023_Q2_holidays_16h,SOLAR,197533.24923076926
279,2023_Q2_holidays_16h,TERMICA,1204158.2292307692
280,2023_Q2_holidays_17h,COGENERADOR,66022.10461538461
281,2023_Q2_holidays_17h,EOLICA,25382.925384615388
282,2023_Q2_holidays_17h,HIDRAULICA,6727810.320769231
283,2023_Q2_holidays_17h,SOLAR,120745.89923076922
284,2023_Q2_holidays_17h,TERMICA,1211271.46
285,2023_Q2_holidays_18h,COGENERADOR,67594.30692307692
286,2023_Q2_holidays_18h,EOLICA,23849.78923076923
287,2023_Q2_holidays_18h,HIDRAULICA,6816061.065384615
288,2023_Q2_holidays_18h,SOLAR,27810.57384615385
289,2023_Q2_holidays_18h,TERMICA,1228485.4284615384
290,2023_Q2_holidays_19h,COGENERADOR,66807.4023076923
291,2023_Q2_holidays_19h,EOLICA,23262.32230769231
292,2023_Q2_holidays_19h,HIDRAULICA,7512844.233846154
293,2023_Q2_holidays_19h,SOLAR,53.26076923076924
294,2023_Q2_holidays_19h,TERMICA,1308709.3061538462
295,2023_Q2_holidays_1h,COGENERADOR,70658.52846153846
296,2023_Q2_holidays_1h,EOLICA,20637.987692307688
297,2023_Q2_holidays_1h,HIDRAULICA,6421685.367692308
298,2023_Q2_holidays_1h,SOLAR,0.0015384615384615385
299,2023_Q2_holidays_1h,TERMICA,1307158.1107692306
300,2023_Q2_holidays_20h,COGENERADOR,65444.160769230766
301,2023_Q2_holidays_20h,EOLICA,23313.574615384612
302,2023_Q2_holidays_20h,HIDRAULICA,7776386.196923077
303,2023_Q2_holidays_20h,SOLAR,0.0015384615384615385
304,2023_Q2_holidays_20h,TERMICA,1353997.66
305,2023_Q2_holidays_21h,COGENERADOR,65590.87923076922
306,2023_Q2_holidays_21h,EOLICA,22404.515384615384
307,2023_Q2_holidays_21h,HIDRAULICA,7633268.868461538
308,2023_Q2_holidays_21h,SOLAR,0.0
309,2023_Q2_holidays_21h,TERMICA,1371373.6776923079
310,2023_Q2_holidays_22h,COGENERADOR,68012.98307692308
311,2023_Q2_holidays_22h,EOLICA,22153.69384615385
312,2023_Q2_holidays_22h,HIDRAULICA,7311333.096153846
313,2023_Q2_holidays_22h,SOLAR,0.0
314,2023_Q2_holidays_22h,TERMICA,1348611.1815384615
315,2023_Q2_holidays_23h,COGENERADOR,67167.32
316,2023_Q2_holidays_23h,EOLICA,20526.132307692307
317,2023_Q2_holidays_23h,HIDRAULICA,6873310.323076923
318,2023_Q2_holidays_23h,SOLAR,0.0
319,2023_Q2_holidays_23h,TERMICA,1344765.2484615385
320,2023_Q2_holidays_2h,COGENERADOR,71118.09461538462
321,2023_Q2_holidays_2h,EOLICA,19280.811538461538
322,2023_Q2_holidays_2h,HIDRAULICA,6154561.653076923
323,2023_Q2_holidays_2h,SOLAR,0.0023076923076923075
324,2023_Q2_holidays_2h,TERMICA,1264450.6115384614
325,2023_Q2_holidays_3h,COGENERADOR,71400.40615384615
326,2023_Q2_holidays_3h,EOLICA,17908.29
327,2023_Q2_holidays_3h,HIDRAULICA,5932140.7700000005
328,2023_Q2_holidays_3h,SOLAR,0.0015384615384615385
329,2023_Q2_holidays_3h,TERMICA,1221836.2323076923
330,2023_Q2_holidays_4h,COGENERADOR,70776.27923076923
331,2023_Q2_holidays_4h,EOLICA,18401.784615384615
332,2023_Q2_holidays_4h,HIDRAULICA,5818657.873846154
333,2023_Q2_holidays_4h,SOLAR,0.0
334,2023_Q2_holidays_4h,TERMICA,1166925.6607692307
335,2023_Q2_holidays_5h,COGENERADOR,70655.49846153846
336,2023_Q2_holidays_5h,EOLICA,15272.185384615384
337,2023_Q2_holidays_5h,HIDRAULICA,5784925.706923077
338,2023_Q2_holidays_5h,SOLAR,0.0
339,2023_Q2_holidays_5h,TERMICA,1128442.7492307692
340,2023_Q2_holidays_6h,COGENERADOR,70016.96461538461
341,2023_Q2_holidays_6h,EOLICA,13410.236153846154
342,2023_Q2_holidays_6h,HIDRAULICA,5736703.513076923
343,2023_Q2_holidays_6h,SOLAR,536.9315384615385
344,2023_Q2_holidays_6h,TERMICA,1091971.7607692308
345,2023_Q2_holidays_7h,COGENERADOR,69257.63769230769
346,2023_Q2_holidays_7h,EOLICA,13103.881538461537
347,2023_Q2_holidays_7h,HIDRAULICA,5591231.033076922
348,2023_Q2_holidays_7h,SOLAR,26137.053076923075
349,2023_Q2_holidays_7h,TERMICA,1058534.8061538462
350,2023_Q2_holidays_8h,COGENERADOR,69043.07538461538
351,2023_Q2_holidays_8h,EOLICA,11949.45
352,2023_Q2_holidays_8h,HIDRAULICA,5799236.14076923
353,2023_Q2_holidays_8h,SOLAR,98790.1976923077
354,2023_Q2_holidays_8h,TERMICA,1079255.93
355,2023_Q2_holidays_9h,COGENERADOR,67927.41846153846
356,2023_Q2_holidays_9h,EOLICA,11005.793846153847
357,2023_Q2_holidays_9h,HIDRAULICA,6127702.516153846
358,2023_Q2_holidays_9h,SOLAR,163302.5507692308
359,2023_Q2_holidays_9h,TERMICA,1095607.26
360,2023_Q2_labor_0h,COGENERADOR,72267.60430379747
361,2023_Q2_labor_0h,EOLICA,21515.190506329116
362,2023_Q2_labor_0h,HIDRAULICA,6847656.811265823
363,2023_Q2_labor_0h,SOLAR,0.01772151898734177
364,2023_Q2_labor_0h,TERMICA,1470837.4851898735
365,2023_Q2_labor_10h,COGENERADOR,68052.33417721519
366,2023_Q2_labor_10h,EOLICA,16664.259746835443
367,2023_Q2_labor_10h,HIDRAULICA,7738101.17443038
368,2023_Q2_labor_10h,SOLAR,240935.62911392405
369,2023_Q2_labor_10h,TERMICA,1292747.4583544303
370,2023_Q2_labor_11h,COGENERADOR,65926.70050632911
371,2023_Q2_labor_11h,EOLICA,18793.352151898736
