LOAD_ZONE,timepoints,zone_demand_mw
Oriental,85,2121.886923076923
Nordeste,86,959.853076923077
Oriental,86,2148.288461538461
Antioquia,86,1089.4292307692308
Caribe,86,2395.45
Surocciden,86,1807.353076923077
Antioquia,87,1088.7369230769232
Surocciden,87,1806.2069230769232
Oriental,87,2146.9284615384613
Nordeste,87,959.2453846153846
Caribe,87,2393.9307692307693
Caribe,88,2362.373076923077
Surocciden,88,1782.397692307692
Oriental,88,2118.626923076923
Nordeste,88,946.5984615384616
Antioquia,88,1074.3861538461538
Caribe,89,2337.972307692308
Antioquia,89,1063.2876923076924
Surocciden,89,1763.983846153846
Oriental,89,2096.742307692308
Nordeste,89,936.8215384615384
Oriental,90,2078.99
Surocciden,90,1749.0484615384617
Caribe,90,2318.1761538461537
Nordeste,90,928.8884615384616
Antioquia,90,1054.286153846154
Caribe,91,2322.6515384615386
Nordeste,91,930.6823076923076
Antioquia,91,1056.319230769231
Surocciden,91,1752.426923076923
Oriental,91,2083.002307692308
Oriental,92,2254.8753846153845
Caribe,92,2514.2992307692307
Surocciden,92,1897.0238461538463
Nordeste,92,1007.4746153846154
Antioquia,92,1143.48
Surocciden,93,1961.6984615384615
Caribe,93,2600.019230769231
Antioquia,93,1182.465384615385
Oriental,93,2331.752307692308
Nordeste,93,1041.823846153846
Oriental,94,2302.712307692308
Nordeste,94,1028.8476923076923
Caribe,94,2567.638461538462
Antioquia,94,1167.7392307692307
Surocciden,94,1937.2684615384612
Oriental,95,2228.123846153846
Nordeste,95,995.5230769230768
Surocciden,95,1874.5184615384617
Caribe,95,2484.4715384615383
Antioquia,95,1129.9146153846154
Oriental,96,2121.4269230769232
Surocciden,96,1784.753076923077
Caribe,96,2365.496153846154
Nordeste,96,947.8507692307692
Antioquia,96,1075.8076923076924
Antioquia,97,1125.3569620253163
Nordeste,97,991.5082278481012
Caribe,97,2474.4507594936717
Surocciden,97,1866.9577215189877
Oriental,97,2219.1386075949367
Antioquia,98,1060.4801265822784
Nordeste,98,934.3469620253164
Surocciden,98,1759.3267088607597
Oriental,98,2091.204683544304
Caribe,98,2331.797215189873
Caribe,99,2250.551012658228
Antioquia,99,1023.5294936708862
Surocciden,99,1698.0260759493672
Oriental,99,2018.340379746836
Nordeste,99,901.7920253164558
Nordeste,100,878.5794936708861
Surocciden,100,1654.3181012658229
Antioquia,100,997.183417721519
Caribe,100,2192.620379746836
Oriental,100,1966.387848101266
Oriental,101,1941.7112658227848
Nordeste,101,867.5548101265823
Antioquia,101,984.6701265822784
Surocciden,101,1633.5582278481013
Caribe,101,2165.106075949367
Caribe,102,2199.7263291139243
Antioquia,102,1000.4150632911392
Nordeste,102,881.426329113924
Oriental,102,1972.7606329113923
Surocciden,102,1659.6803797468351
Oriental,103,2044.873417721519
Caribe,103,2280.1362025316457
Nordeste,103,913.6460759493672
Surocciden,103,1720.3489873417725
Antioquia,103,1036.9856962025317
Surocciden,104,1759.4639240506328
Caribe,104,2331.979746835443
Nordeste,104,934.420506329114
Oriental,104,2091.3678481012657
Antioquia,104,1060.562405063291
Caribe,105,2479.4464556962025
Oriental,105,2223.6191139240505
Surocciden,105,1870.7264556962027
Antioquia,105,1127.6293670886075
Nordeste,105,993.510253164557
Surocciden,106,1980.6212658227848
Antioquia,106,1193.8712658227848
Nordeste,106,1051.8726582278482
Oriental,106,2354.2437974683544
Caribe,106,2625.099240506329
Caribe,107,2718.7893670886074
Surocciden,107,2051.309367088608
Oriental,107,2438.2669620253164
Antioquia,107,1236.4808860759497
Nordeste,107,1089.4140506329115
Nordeste,108,1129.7869620253164
Caribe,108,2819.5449367088604
Antioquia,108,1282.3027848101265
Oriental,108,2528.626202531645
Surocciden,108,2127.329493670886
Antioquia,109,1316.4639240506328
Caribe,109,2894.657594936709
Oriental,109,2595.989746835443
Surocciden,109,2184.0015189873416
Nordeste,109,1159.8843037974684
Nordeste,110,1153.4037974683545
Antioquia,110,1309.1082278481013
Oriental,110,2581.484683544304
Caribe,110,2878.4851898734178
Surocciden,110,2171.799493670886
Oriental,111,2595.168481012658
Antioquia,111,1316.046835443038
Nordeste,111,1159.5178481012658
Surocciden,111,2183.310506329114
Caribe,111,2893.74164556962
Oriental,112,2624.1345569620253
Surocciden,112,2207.6802531645567
Nordeste,112,1172.46
Caribe,112,2926.040506329114
Antioquia,112,1330.7362025316456
Nordeste,113,1169.616835443038
Surocciden,113,2202.3267088607595
Antioquia,113,1327.509493670886
Oriental,113,2617.7712658227847
Caribe,113,2918.9450632911394
Antioquia,114,1307.7007594936708
Surocciden,114,2169.46417721519
Caribe,114,2875.3906329113925
Oriental,114,2578.709873417721
Nordeste,114,1152.1643037974684
Surocciden,115,2108.536202531646
Caribe,115,2794.635696202532
Nordeste,115,1119.8067088607595
Oriental,115,2506.2883544303795
Antioquia,115,1270.9755696202533
Surocciden,116,2192.2951898734177
Oriental,116,2605.847088607595
Nordeste,116,1164.2887341772152
Caribe,116,2905.6493670886075
Antioquia,116,1321.462658227848
Caribe,117,2989.765316455696
Antioquia,117,1359.7169620253164
Nordeste,117,1197.9943037974683
Oriental,117,2681.284050632911
Surocciden,117,2255.760126582278
Antioquia,118,1334.113164556962
Caribe,118,2933.466202531645
Surocciden,118,2213.2822784810123
Oriental,118,2630.793924050633
Nordeste,118,1175.4351898734178
Nordeste,119,1125.5825316455696
Oriental,119,2519.214936708861
Antioquia,119,1277.5301265822786
Caribe,119,2809.050886075949
Surocciden,119,2119.4111392405066
Surocciden,120,1989.7627848101267
Nordeste,120,1056.727341772152
Antioquia,120,1199.380759493671
Oriental,120,2365.1091139240507
Caribe,120,2637.214936708861
Surocciden,121,1742.503846153846
Caribe,121,2309.4992307692305
Nordeste,121,925.4123076923078
Oriental,121,2071.2069230769234
Antioquia,121,1050.3384615384616
Oriental,122,2047.69
Antioquia,122,1038.4138461538462
Surocciden,122,1722.7176923076922
Caribe,122,2283.2753846153846
Nordeste,122,914.9053846153846
Surocciden,123,1659.804615384615
Antioquia,123,1000.4892307692307
Nordeste,123,881.493076923077
Oriental,123,1972.9076923076923
Caribe,123,2199.89
Nordeste,124,854.6315384615384
Oriental,124,1912.79
Caribe,124,2132.856153846154
Antioquia,124,970.003846153846
Surocciden,124,1609.2261538461537
Nordeste,125,834.3915384615385
Caribe,125,2082.3438461538462
Surocciden,125,1571.1138461538462
Antioquia,125,947.0307692307692
Oriental,125,1867.4907692307693
