gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Hidro,Water,2032,61912.84132665725,86055973.55032074,0.0,12988.792,1915499513.8988552,568649313.76,41.51327488991442,0.5441365101952244,0.0,0.0
Hidro,Water,2033,61912.8413268458,86055973.55058326,0.0,12988.792,1915499513.8988552,568649313.76,41.513274889792235,0.5441365101968815,0.0,0.0
Hidro,Water,2034,61912.84132734465,86055973.55127817,0.0,12988.792,1915499513.8988552,568649313.76,41.513274889468974,0.5441365102012657,0.0,0.0
Hidro,Water,2035,61912.84132721313,86055973.55109344,0.0,12988.792,1915499513.8988552,568649313.76,41.513274889554175,0.5441365102001099,0.0,0.0
RunOfRiver,Water,2023,1150.4036390352035,1599061.058258933,0.0,184.76,21945662.817875467,8088792.799999999,27.497754355735637,0.7107848902804695,0.0,0.0
RunOfRiver,Water,2024,1150.4036391482264,1599061.0584160346,0.0,184.76,21945662.817875467,8088792.799999999,27.49775435317065,0.7107848903503017,0.0,0.0
RunOfRiver,Water,2025,1150.4036390078145,1599061.058220862,0.0,184.76,21945662.817875467,8088792.799999999,27.497754356357223,0.710784890263547,0.0,0.0
RunOfRiver,Water,2026,1150.4036392472065,1599061.058553617,0.0,184.76,21945662.817875467,8088792.799999999,27.497754350924353,0.7107848904114571,0.0,0.0
RunOfRiver,Water,2027,1150.4036395983474,1599061.0590417024,0.0,184.76,21945662.817875467,8088792.799999999,27.497754342955407,0.710784890628412,0.0,0.0
RunOfRiver,Water,2028,1150.4036390506608,1599061.0582804182,0.0,184.76,21945662.817875467,8088792.799999999,27.497754355384842,0.71078489029002,0.0,0.0
RunOfRiver,Water,2029,1150.4036391624786,1599061.0584358452,0.0,184.76,21945662.817875467,8088792.799999999,27.497754352847206,0.7107848903591074,0.0,0.0
RunOfRiver,Water,2030,1150.4036392960727,1599061.0586215411,0.0,184.76,21945662.817875467,8088792.799999999,27.497754349815366,0.7107848904416494,0.0,0.0
RunOfRiver,Water,2031,1150.403639144827,1599061.058411309,0.0,184.76,21945662.817875467,8088792.799999999,27.497754353247792,0.7107848903482012,0.0,0.0
RunOfRiver,Water,2032,1150.4036396950687,1599061.0591761456,0.0,184.76,21945662.817875467,8088792.799999999,27.497754340760366,0.7107848906881721,0.0,0.0
RunOfRiver,Water,2033,1150.4036393700244,1599061.058724334,0.0,184.76,21945662.817875467,8088792.799999999,27.497754348137068,0.7107848904873411,0.0,0.0
RunOfRiver,Water,2034,1150.4036386555244,1599061.057731179,0.0,184.76,21945662.817875467,8088792.799999999,27.497754364352232,0.7107848900458823,0.0,0.0
RunOfRiver,Water,2035,1150.4036391252764,1599061.058384134,0.0,184.76,21945662.817875467,8088792.799999999,27.497754353691484,0.7107848903361219,0.0,0.0
Thermal,ACPM,2023,5.863180259741002e-06,0.05452757641559132,0.0031438846214211806,1041.0,202347726.61909693,149092020.0,59940123125.11588,6.429517915839836e-10,0.0,0.0
Thermal,ACPM,2024,564.9940066565736,5254444.261906135,281574.6075199266,1041.0,202347726.61909693,149092020.0,631.3238488878634,0.06195680376883106,0.0,0.0
