GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
S_AutSolla,2023,1327000,15970,.
S_AutEncanto,2023,1327000,15970,.
S_Uruaco,2023,1327000,15970,.
S_Harinas,2022,1327000,15970,.
S_AutLevapan,2022,1327000,15970,.
S_AutGragas,2023,1327000,15970,.
S_Carmelo,2020,1327000,15970,.
E_ParqueAlph,2029,1718000,27570,.
E_ParqueBeta,2029,1718000,27570,.
E_Camelia,2028,1718000,27570,.
E_Windpeshi,2028,1718000,27570,.
S_BSLlanos4,2021,1327000,15970,.
S_BSLlanos5,2021,1327000,15970,.
S_CaracoliI,2024,1327000,15970,.
S_LaLoma,2024,1327000,15970,.
S_ParqueUrra,2024,1327000,15970,.
S_Tepuy,2024,1327000,15970,.
S_El_Paso,2023,1327000,15970,.
S_LaMata,2024,1327000,15970,.
S_Escobal6,2026,1327000,15970,.
S_Union,2024,1327000,15970,.
S_Nabusimake,2024,1327000,15970,.
S_Guayepo,2024,1327000,15970,.
S_Sunnorte,2024,1327000,15970,.
E_CasaElec,2027,1718000,27570,.
E_Apoto,2027,1718000,27570,.
TermoCaribe3,2024,1307000,143220,.
DST_Surocciden,2024,1336275,15836,.
DST_Surocciden,2025,1230278,14580,.
DST_Surocciden,2026,1139655,13506,.
DST_Surocciden,2027,1052544,12474,.
DST_Surocciden,2028,973398,11536,.
DST_Surocciden,2029,899744,10663,.
DST_Surocciden,2030,830957,9848,.
DST_Surocciden,2031,769831,9123,.
DST_Surocciden,2032,715463,8479,.
DST_Surocciden,2033,666505,7899,.
DST_Surocciden,2034,620895,7358,.
DST_Surocciden,2035,581751,6894,.
DST_Surocciden,2036,544209,6449,.
DST_Surocciden,2037,515449,6108,.
DST_Caribe,2024,1336275,15836,.
DST_Caribe,2025,1230278,14580,.
DST_Caribe,2026,1139655,13506,.
DST_Caribe,2027,1052544,12474,.
DST_Caribe,2028,973398,11536,.
DST_Caribe,2029,899744,10663,.
DST_Caribe,2030,830957,9848,.
DST_Caribe,2031,769831,9123,.
DST_Caribe,2032,715463,8479,.
DST_Caribe,2033,666505,7899,.
DST_Caribe,2034,620895,7358,.
DST_Caribe,2035,581751,6894,.
DST_Caribe,2036,544209,6449,.
DST_Caribe,2037,515449,6108,.
DST_Oriental,2024,1336275,15836,.
DST_Oriental,2025,1230278,14580,.
DST_Oriental,2026,1139655,13506,.
DST_Oriental,2027,1052544,12474,.
DST_Oriental,2028,973398,11536,.
DST_Oriental,2029,899744,10663,.
DST_Oriental,2030,830957,9848,.
DST_Oriental,2031,769831,9123,.
DST_Oriental,2032,715463,8479,.
DST_Oriental,2033,666505,7899,.
DST_Oriental,2034,620895,7358,.
DST_Oriental,2035,581751,6894,.
DST_Oriental,2036,544209,6449,.
DST_Oriental,2037,515449,6108,.
DST_Antioquia,2024,1336275,15836,.
DST_Antioquia,2025,1230278,14580,.
DST_Antioquia,2026,1139655,13506,.
DST_Antioquia,2027,1052544,12474,.
DST_Antioquia,2028,973398,11536,.
DST_Antioquia,2029,899744,10663,.
DST_Antioquia,2030,830957,9848,.
DST_Antioquia,2031,769831,9123,.
DST_Antioquia,2032,715463,8479,.
DST_Antioquia,2033,666505,7899,.
DST_Antioquia,2034,620895,7358,.
DST_Antioquia,2035,581751,6894,.
DST_Antioquia,2036,544209,6449,.
DST_Antioquia,2037,515449,6108,.
DST_Nordeste,2024,1336275,15836,.
DST_Nordeste,2025,1230278,14580,.
DST_Nordeste,2026,1139655,13506,.
DST_Nordeste,2027,1052544,12474,.
DST_Nordeste,2028,973398,11536,.
DST_Nordeste,2029,899744,10663,.
DST_Nordeste,2030,830957,9848,.
DST_Nordeste,2031,769831,9123,.
DST_Nordeste,2032,715463,8479,.
DST_Nordeste,2033,666505,7899,.
DST_Nordeste,2034,620895,7358,.
DST_Nordeste,2035,581751,6894,.
DST_Nordeste,2036,544209,6449,.
DST_Nordeste,2037,515449,6108,.
