hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
GUAVIO,2024_Q2_labor,404.56304279999995,0.009859999999999999
H_ALBAN,2024_Q2_holidays,12.030999999999999,3.003
H_ALBAN,2024_Q2_labor,221.01219999999998,0.231
H_GUATRON,2024_Q2_holidays,437.891214,1.38
H_GUATRON,2024_Q2_labor,432.5732508,0.06
H_PAGUA,2024_Q2_holidays,520.018332,0.00117
H_PAGUA,2024_Q2_labor,411.0667988,1e-05
ITUANGO,2024_Q2_holidays,536.1231028,269.33646999999996
ITUANGO,2024_Q2_labor,534.955782,0.00076
JAGUAS,2024_Q2_holidays,95.57408,1.90435
JAGUAS,2024_Q2_labor,85.79136199999999,0.00202
LA TASAJERA,2024_Q2_holidays,202.9499656,4.54667
LA TASAJERA,2024_Q2_labor,203.20662,0.07332999999999999
MIEL I,2024_Q2_holidays,33.038248,29.42719
MIEL I,2024_Q2_labor,32.865663999999995,29.235409999999998
PLAYAS,2024_Q2_holidays,204.89003,0.69
PLAYAS,2024_Q2_labor,204.86,0.07
PORCE II,2024_Q2_holidays,267.71819999999997,3.128
PORCE II,2024_Q2_labor,269.054,0.046
PORCE III,2024_Q2_holidays,603.3286108,0.66625
PORCE III,2024_Q2_labor,588.9037868,0.6147
PRADO,2024_Q2_holidays,51.107824,1e-05
PRADO,2024_Q2_labor,51.1122732,0.00026000000000000003
SALTO II,2024_Q2_holidays,34.8810896,8.999999999999999e-05
SALTO II,2024_Q2_labor,34.879330800000005,0.00025
SALVAJINA,2024_Q2_holidays,94.4708344,0.0033399999999999997
SALVAJINA,2024_Q2_labor,95.033792,0.00123
SAN CARLOS,2024_Q2_holidays,804.6787740000001,3.77677
SAN CARLOS,2024_Q2_labor,929.354872,0.009550000000000001
SANFRANCISCO,2024_Q2_holidays,45.891560000000005,1e-05
SANFRANCISCO,2024_Q2_labor,45.713622,1e-05
SNMIGUEL,2024_Q2_holidays,45.644059999999996,3.21132
SNMIGUEL,2024_Q2_labor,43.6879532,0.89386
SOGAMOSO,2024_Q2_holidays,643.1574559999999,119.89412
SOGAMOSO,2024_Q2_labor,617.467114,119.66494999999999
URRA,2024_Q2_holidays,135.65712000000002,66.17868
URRA,2024_Q2_labor,143.223234,66.28495
AMOYA,2024_Q3_holidays,56.85681159999999,1.4005999999999998
AMOYA,2024_Q3_labor,57.855868799999996,0.0014299999999999998
BETANIA,2024_Q3_holidays,60.571974,59.56069
BETANIA,2024_Q3_labor,235.69542679999995,59.7031
CALIMA,2024_Q3_holidays,72.8859864,2.05197
CALIMA,2024_Q3_labor,104.30860559999999,0.012
