LOAD_ZONE,timepoints,zone_demand_mw
Nordeste,2448,1448.602307692308
Caribe,2448,3615.194615384615
Surocciden,2448,2727.6423076923074
Oriental,2448,3242.182307692308
Surocciden,2447,2875.979230769231
Oriental,2447,3418.5007692307695
Nordeste,2447,1527.3807692307694
Caribe,2447,3811.8
Antioquia,2447,1733.57
Surocciden,2446,2997.6776923076923
Oriental,2446,3563.1546153846157
Nordeste,2446,1592.0130769230768
Caribe,2446,3973.096153846154
Antioquia,2446,1806.9276923076925
Antioquia,2445,1854.3507692307694
Surocciden,2445,3076.3500000000004
Oriental,2445,3656.670769230769
Nordeste,2445,1633.7961538461536
Caribe,2445,4077.3715384615384
Surocciden,2444,3009.8530769230765
Oriental,2444,3577.6284615384616
Nordeste,2444,1598.4792307692308
Caribe,2444,3989.2330769230766
Antioquia,2444,1814.2676923076922
Nordeste,2443,1519.823846153846
Antioquia,2443,1724.99
Caribe,2443,3792.933846153846
Oriental,2443,3401.5807692307694
Surocciden,2443,2861.7446153846154
Antioquia,2442,1745.7076923076925
Surocciden,2442,2896.1153846153848
Oriental,2442,3442.4361538461535
Nordeste,2442,1538.0761538461536
Caribe,2442,3838.486923076923
Oriental,2441,3485.9315384615384
Nordeste,2441,1557.51
Caribe,2441,3886.986923076923
Surocciden,2441,2932.7084615384615
Antioquia,2441,1767.7661538461539
Antioquia,2440,1782.6107692307692
Surocciden,2440,2957.336153846154
Oriental,2440,3515.2053846153844
Nordeste,2440,1570.5884615384616
Caribe,2440,3919.6292307692306
Nordeste,2439,1585.936923076923
Antioquia,2439,1800.0307692307692
Caribe,2439,3957.93
Oriental,2439,3549.5561538461543
Surocciden,2439,2986.2346153846156
Antioquia,2438,1823.7730769230768
Caribe,2438,4010.1392307692304
Nordeste,2438,1606.8553846153845
Oriental,2438,3596.3753846153845
Surocciden,2438,3025.6253846153845
Caribe,2437,4037.7615384615387
Antioquia,2437,1836.336923076923
Surocciden,2437,3046.4653846153847
Oriental,2437,3621.1469230769226
Nordeste,2437,1617.9246153846154
Surocciden,2436,2982.897692307692
Nordeste,2436,1584.1646153846154
Caribe,2436,3953.5069230769227
Antioquia,2436,1798.0192307692307
Oriental,2436,3545.5884615384616
Caribe,2435,3827.193076923077
Surocciden,2435,2887.5946153846153
Nordeste,2435,1533.5484615384617
Oriental,2435,3432.306923076923
Antioquia,2435,1740.5715384615385
Surocciden,2434,2778.153846153846
Oriental,2434,3302.2215384615383
Nordeste,2434,1475.4276923076925
Caribe,2434,3682.1415384615384
Antioquia,2434,1674.603846153846
Antioquia,2433,1573.503846153846
Surocciden,2433,2610.429230769231
Oriental,2433,3102.8576923076926
Nordeste,2433,1386.352307692308
Caribe,2433,3459.8415384615387
Oriental,2432,2903.5153846153844
Surocciden,2432,2442.7192307692308
Caribe,2432,3237.563076923077
Antioquia,2432,1472.4123076923076
Nordeste,2432,1297.2869230769231
Surocciden,2431,2390.856923076923
Oriental,2431,2841.868461538462
Nordeste,2431,1269.7430769230768
Caribe,2431,3168.826153846154
Antioquia,2431,1441.1538461538462
Surocciden,2430,2374.096923076923
Oriental,2430,2821.9438461538457
Nordeste,2430,1260.8392307692307
Caribe,2430,3146.6076923076926
Antioquia,2430,1431.0484615384617
Surocciden,2429,2369.4023076923077
Oriental,2429,2816.363076923077
Nordeste,2429,1258.346923076923
Caribe,2429,3140.3846153846152
Antioquia,2429,1428.2192307692308
Surocciden,2428,2409.480769230769
Oriental,2428,2864.003076923077
Nordeste,2428,1279.633076923077
Caribe,2428,3193.5053846153846
Antioquia,2428,1452.3761538461538
Surocciden,2427,2477.99
Antioquia,2427,1493.6723076923076
Nordeste,2427,1316.0169230769231
Caribe,2427,3284.306923076923
Oriental,2427,2945.4346153846154
Surocciden,2426,2570.1992307692303
Oriental,2426,3055.0369230769234
Nordeste,2426,1364.9876923076922
Caribe,2426,3406.520769230769
Antioquia,2426,1549.2546153846156
Nordeste,2425,1372.643846153846
Caribe,2425,3425.6284615384616
Antioquia,2425,1557.9438461538462
Oriental,2425,3072.1761538461537
Surocciden,2425,2584.616923076923
