gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Eolica,Wind,2030,38675.61718689237,0.0,0.0,7121.198416598725,1268338818.8168972,203080506.34752515,38.045141414397484,0.6199833981220505,0.0,0.0
Eolica,Wind,2031,39056.60695534594,0.0,0.0,7252.89839236713,1288318422.2423952,206216809.57047397,38.26587479863767,0.6147220786129467,0.0,0.0
Eolica,Wind,2032,39191.54633270122,0.0,0.0,7323.435685685277,1298757926.4767683,207855531.96884117,38.44230706427878,0.6109046363280323,0.0,0.0
Eolica,Wind,2033,39356.03398795517,0.0,0.0,7341.06087423644,1301302501.821423,208254971.61697617,38.3564429764543,0.6119957347851025,0.0,0.0
Eolica,Wind,2034,39415.83095876748,0.0,0.0,7397.15740805635,1309209535.1519868,209496163.52427548,38.530348383748795,0.6082774549518962,0.0,0.0
Eolica,Wind,2035,40191.28418360309,0.0,0.0,7646.1835752663455,1343502613.497021,214879362.18085396,38.77412745904872,0.6000439427745361,0.0,0.0
Geothermal,Geothermal,2024,1648.1616810572411,0.0,0.0,253.70263573007162,73250580.04425302,36827474.602577195,66.78838363492275,0.7416017184115976,0.0,0.0
Geothermal,Geothermal,2025,1663.9217646301486,0.0,0.0,324.79311687361076,92566069.8542817,46538505.41726579,83.6004301575244,0.5848196807543945,0.0,0.0
Geothermal,Geothermal,2026,1600.5347123497315,0.0,0.0,393.62415677724846,110168799.43241939,55388456.372876,103.4387161539547,0.46417233013585385,0.0,0.0
Geothermal,Geothermal,2027,1594.2498163183598,0.0,0.0,464.531749488267,127236490.84225129,63969409.61239262,119.93471694179046,0.3917751334858824,0.0,0.0
Geothermal,Geothermal,2028,1588.3324761273552,0.0,0.0,536.4500796592047,143486809.8937139,72139403.8381413,135.75634633977347,0.3379932254344871,0.0,0.0
Geothermal,Geothermal,2029,1579.9241069052864,0.0,0.0,608.7743073251862,158802599.6468777,79839547.38505536,151.04658887658786,0.29626190040905537,0.0,0.0
Geothermal,Geothermal,2030,1579.9042781313788,0.0,0.0,680.7447728139418,173107116.61208972,87031268.11948475,164.6545226393408,0.26493684101926174,0.0,0.0
Geothermal,Geothermal,2031,1577.3933365547714,0.0,0.0,752.5599064405783,186488881.17936626,93759053.4678953,177.6652203053925,0.23927361920607365,0.0,0.0
Geothermal,Geothermal,2032,1582.6048696694238,0.0,0.0,825.4286371602757,199198776.77097088,100149058.202167,189.14881453364032,0.2188713211798554,0.0,0.0
Geothermal,Geothermal,2033,1599.6666214436516,0.0,0.0,900.0434080899686,211338037.8029525,106252173.39036123,198.5352491175305,0.20289059757816152,0.0,0.0
Geothermal,Geothermal,2034,1623.9565709774947,0.0,0.0,975.6212826517012,222740333.80355683,111984755.17586866,206.11701997544625,0.19001550447838322,0.0,0.0
Geothermal,Geothermal,2035,1632.5061369243049,0.0,0.0,1049.9869042996895,233196098.9045396,117241512.23892166,214.66235453405227,0.17748711654172086,0.0,0.0
Hidro,Water,2023,71002.75501715667,97016142.73883484,0.0,12391.502,1821177345.413436,542499957.56,34.656309394159194,0.65410450893892,0.0,0.0
Hidro,Water,2024,60908.72525204732,84285565.98745221,0.0,12669.755061210426,1906848683.2319515,555594546.6205626,41.81221631714191,0.5487912587313278,0.0,0.0
Hidro,Water,2025,61216.838190916205,84715024.63198018,0.0,12753.471052964078,1932624000.7761328,559534221.1924895,42.09419046707605,0.5479467910151147,0.0,0.0
Hidro,Water,2026,67472.17119650992,93459131.5876404,0.0,14022.468054699066,2286831499.226976,615317220.0941381,44.39767978095991,0.5492829520422619,0.0,0.0
Hidro,Water,2027,67817.50648414182,93900277.65030167,0.0,14091.496413248611,2308084641.2360168,618565694.6474797,44.539393589177614,0.5493898062673047,0.0,0.0
Hidro,Water,2028,68005.99753343638,94223350.12030047,0.0,14162.834407652374,2330048897.0514755,621922860.6641207,44.793036177995624,0.5481418128680967,0.0,0.0
Hidro,Water,2029,67979.11572903385,94196849.45729163,0.0,14231.07824560415,2351060493.0057683,625134415.6781313,45.16669164070678,0.5452976151561506,0.0,0.0
Hidro,Water,2030,68351.18664989623,94700628.30193436,0.0,14301.191728155605,2372647733.8546867,628433956.1670027,45.292298057393324,0.5455941732800141,0.0,0.0
Hidro,Water,2031,68722.53063289268,95226400.41846961,0.0,14374.78356051388,2395305923.8606596,631897187.7977833,45.43531041888645,0.5457499732399761,0.0,0.0
Hidro,Water,2032,69235.814725603,95969135.22479185,0.0,14448.496185710019,2418001304.7746983,635366103.9395134,45.487101674480584,0.5470210682415606,0.0,0.0
Hidro,Water,2033,69903.33868563616,96857933.48078705,0.0,14521.87597756316,2440594209.62741,638819356.9441223,45.43805145468659,0.5495042923945183,0.0,0.0
Hidro,Water,2034,70604.36638200063,97836787.8596831,0.0,14594.781820331935,2463041190.2917624,642250305.9048209,45.36728318934179,0.5522425258046207,0.0,0.0
