GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
H_AutGold,2023,Hidro,Antioquia,Water,0,0,0
H_VentanaA,2023,Hidro,Surocciden,Water,0,0,0
H_VentanaB,2023,Hidro,Surocciden,Water,0,0,0
H_Violetas,2023,Hidro,Antioquia,Water,0,0,0
H_Zeus,2023,Hidro,Antioquia,Water,0,0,0
INSULA,2023,Hidro,Surocciden,Water,0,0,0
ITUANGO,2023,Hidro,Antioquia,Water,0,0,0
H_PAGUA,2023,Hidro,Surocciden,Water,0,0,0
H_GUATRON,2023,Hidro,Antioquia,Water,0,0,0
H_ALBAN,2023,Hidro,Surocciden,Water,0,0,0
S_Dulima,2023,pv_solar,Surocciden,Solar,21.9,0,2.90613e+07
S_Cauca,2023,pv_solar,Surocciden,Solar,0,0,0
S_Ferch2,2023,pv_solar,Nordeste,Solar,0,0,0
S_Salado,2023,pv_solar,Surocciden,Solar,0.1,0,132700
S_AutJeans,2023,pv_solar,Antioquia,Solar,1.39,0,1.84453e+06
S_AutPintuco,2023,pv_solar,Antioquia,Solar,1.41,0,1.87107e+06
S_Palmira3,2023,pv_solar,Surocciden,Solar,7.4,0,9.8198e+06
S_Belmonte,2023,pv_solar,Surocciden,Solar,0,0,0
S_Termotasajero,2023,pv_solar,Nordeste,Solar,0,0,0
S_Victoria_I,2023,pv_solar,Surocciden,Solar,21.9,0,2.90613e+07
S_Victoria_II,2023,pv_solar,Surocciden,Solar,21.9,0,2.90613e+07
S_Flandes,2023,pv_solar,Surocciden,Solar,21.9,0,2.90613e+07
S_BSLI,2023,pv_solar,Oriental,Solar,0,0,0
S_BSLII,2023,pv_solar,Oriental,Solar,0,0,0
S_BSLIII,2023,pv_solar,Oriental,Solar,0,0,0
S_Espinal,2023,pv_solar,Antioquia,Solar,0,0,0
JAGUAS,2023,Hidro,Antioquia,Water,0,0,0
LA TASAJERA,2023,Hidro,Antioquia,Water,0,0,0
MERILECTRICA,2023,Thermal,Nordeste,GASNACIO,0,0,0
MIEL I,2023,Hidro,Surocciden,Water,0,0,0
PAIPA 1,2023,Thermal,Nordeste,CARBON,0,0,0
PAIPA 2,2023,Thermal,Nordeste,CARBON,0,0,0
PAIPA 3,2023,Thermal,Nordeste,CARBON,0,0,0
PAIPA 4,2023,Thermal,Nordeste,CARBON,0,0,0
PLAYAS,2023,Hidro,Antioquia,Water,0,0,0
PORCE II,2023,Hidro,Antioquia,Water,0,0,0
PORCE III,2023,Hidro,Antioquia,Water,0,0,0
PRADO,2023,Hidro,Surocciden,Water,0,0,0
PRADO4,2023,Hidro,Surocciden,Water,0,0,0
PROELECTRIC1,2023,Thermal,Caribe,GASNACIO,0,0,0
PROELECTRIC2,2023,Thermal,Caribe,GASNACIO,0,0,0
RIOGRANDE 1,2023,Hidro,Antioquia,Water,0,0,0
SALTO II,2023,RunOfRiver,Oriental,Water,0,0,0
SALVAJINA,2023,Hidro,Surocciden,Water,0,0,0
SAN CARLOS,2023,Hidro,Antioquia,Water,0,0,0
SANFRANCISCO,2023,RunOfRiver,Surocciden,Water,0,0,0
SNMIGUEL,2023,RunOfRiver,Antioquia,Water,0,0,0
SOGAMOSO,2023,Hidro,Nordeste,Water,0,0,0
T_AutArCairo,2023,Thermal,Antioquia,CARBON,0,0,0
T_TermYopal1,2023,Thermal,Nordeste,CARBON,0,0,0
TASAJERO 1,2023,Thermal,Nordeste,CARBON,0,0,0
TASAJERO 2,2023,Thermal,Nordeste,CARBON,0,0,0
TC_GECELCA3,2023,Thermal,Caribe,CARBON,0,0,0
TC_GECELCA32,2023,Thermal,Caribe,CARBON,0,0,0
TEBSAB,2023,Thermal,Caribe,GASNACIO,0,0,0
TEQUEND1-4,2023,Hidro,Oriental,Water,0,0,0
TERMO YOPAL2,2023,Thermal,Nordeste,GASNACIO,0,0,0
TERMOCENTRO,2023,Thermal,Antioquia,GASNACIO,0,0,0
TERMODORADA1,2023,Thermal,Surocciden,ACPM,0,0,0
TERMOEMCALI,2023,Thermal,Surocciden,ACPM,0,0,0
TERMONORTE,2023,Thermal,Caribe,ACPM,0,0,0
TERMOSIERRA,2023,Thermal,Antioquia,ACPM,0,0,0
TERMOVALLE,2023,Thermal,Surocciden,ACPM,0,0,0
TERMOYOPALG3,2023,Thermal,Nordeste,GASNACIO,0,0,0
TERMOYOPALG4,2023,Thermal,Nordeste,GASNACIO,0,0,0
TERMOYOPALG5,2023,Thermal,Nordeste,GASNACIO,0,0,0
URRA,2023,Hidro,Caribe,Water,0,0,0
ZIPAEMG2,2023,Thermal,Oriental,CARBON,0,0,0
ZIPAEMG3,2023,Thermal,Oriental,CARBON,0,0,0
ZIPAEMG4,2023,Thermal,Oriental,CARBON,0,0,0
ZIPAEMG5,2023,Thermal,Oriental,CARBON,0,0,0
E_Wesp01,2023,Eolica,Caribe,Wind,0,0,0
E_GuajiraI,2023,Eolica,Caribe,Wind,20,0,3.436e+07
S_Cabelleros,2023,pv_solar,Surocciden,Solar,0,0,0
S_Montelibano,2023,pv_solar,Caribe,Solar,0,0,0
S_Lanceros,2023,pv_solar,Oriental,Solar,9.1,0,1.20757e+07
S_SanFelipe,2023,pv_solar,Oriental,Solar,9.1,0,1.20757e+07
S_Cienaguero,2023,pv_solar,Caribe,Solar,9,0,1.1943e+07
S_Yuma,2023,pv_solar,Oriental,Solar,9.1,0,1.20757e+07
