LOAD_ZONE,timepoints,zone_demand_mw
Antioquia,134,1104.95
Surocciden,134,1833.102307692308
Oriental,134,2178.8984615384616
Nordeste,134,973.5292307692307
Surocciden,133,1805.3546153846155
Antioquia,133,1088.2246153846154
Caribe,133,2392.800769230769
Nordeste,133,958.7930769230769
Oriental,133,2145.916153846154
Surocciden,132,1757.9953846153844
Oriental,132,2089.6215384615384
Nordeste,132,933.6392307692307
Caribe,132,2330.0323076923078
Antioquia,132,1059.676153846154
Antioquia,131,1025.5923076923077
Surocciden,131,1701.4492307692308
Nordeste,131,903.6092307692307
Caribe,131,2255.087692307692
Oriental,131,2022.41
Surocciden,130,1632.576923076923
Oriental,130,1940.5446153846156
Nordeste,130,867.0330769230769
Caribe,130,2163.8023076923077
Antioquia,130,984.0784615384616
Caribe,129,2057.5207692307695
Antioquia,129,935.7407692307692
Surocciden,129,1552.3876923076923
Nordeste,129,824.4453846153847
Oriental,129,1845.2276923076922
Surocciden,128,1488.8907692307694
Oriental,128,1769.7553846153846
Nordeste,128,790.7230769230769
Caribe,128,1973.363076923077
Antioquia,128,897.4676923076923
Surocciden,127,1524.936923076923
Oriental,127,1812.5992307692309
Nordeste,127,809.8676923076923
Caribe,127,2021.1384615384616
Antioquia,127,919.1946153846154
Surocciden,126,1550.1046153846155
Oriental,126,1842.513846153846
Nordeste,126,823.2338461538462
Caribe,126,2054.496923076923
Antioquia,126,934.3653846153846
Surocciden,125,1571.1138461538462
Oriental,125,1867.4907692307693
Nordeste,125,834.3915384615385
Caribe,125,2082.3438461538462
Antioquia,125,947.0307692307692
Antioquia,124,970.0038461538461
Caribe,124,2132.856153846154
Oriental,124,1912.79
Surocciden,124,1609.2261538461537
Nordeste,124,854.6315384615384
Antioquia,123,1000.4892307692309
Caribe,123,2199.89
Nordeste,123,881.493076923077
Oriental,123,1972.9076923076923
Surocciden,123,1659.8046153846153
Antioquia,122,1038.4138461538462
Caribe,122,2283.2753846153846
Nordeste,122,914.9053846153846
Oriental,122,2047.69
Surocciden,122,1722.7176923076922
Oriental,121,2071.2069230769234
Caribe,121,2309.4992307692305
Surocciden,121,1742.503846153846
Nordeste,121,925.4123076923078
Antioquia,121,1050.3384615384616
Oriental,120,2365.1091139240507
Nordeste,120,1056.727341772152
Antioquia,120,1199.380759493671
Caribe,120,2637.214936708861
Surocciden,120,1989.7627848101267
Caribe,119,2809.050886075949
Nordeste,119,1125.5825316455696
Oriental,119,2519.214936708861
Surocciden,119,2119.4111392405066
Antioquia,119,1277.5301265822786
Oriental,118,2630.793924050633
Caribe,118,2933.466202531645
Antioquia,118,1334.1131645569621
Nordeste,118,1175.4351898734178
Surocciden,118,2213.2822784810123
Surocciden,117,2255.760126582278
Oriental,117,2681.284050632911
Nordeste,117,1197.9943037974683
Caribe,117,2989.765316455696
Antioquia,117,1359.7169620253164
Surocciden,116,2192.2951898734177
Oriental,116,2605.847088607595
Nordeste,116,1164.2887341772152
Caribe,116,2905.6493670886075
Antioquia,116,1321.4626582278481
Oriental,115,2506.2883544303795
Caribe,115,2794.6356962025316
Antioquia,115,1270.9755696202533
Nordeste,115,1119.8067088607595
Surocciden,115,2108.536202531646
Surocciden,114,2169.46417721519
Nordeste,114,1152.1643037974684
Caribe,114,2875.3906329113925
Antioquia,114,1307.7007594936708
Oriental,114,2578.709873417721
Surocciden,113,2202.3267088607595
Oriental,113,2617.7712658227847
Nordeste,113,1169.6168354430379
Caribe,113,2918.9450632911394
Antioquia,113,1327.509493670886
Antioquia,112,1330.7362025316456
Oriental,112,2624.1345569620253
Caribe,112,2926.040506329114
Nordeste,112,1172.46
Surocciden,112,2207.6802531645567
Caribe,111,2893.7416455696202
Nordeste,111,1159.5178481012658
Oriental,111,2595.168481012658
Surocciden,111,2183.310506329114
Antioquia,111,1316.046835443038
Nordeste,110,1153.4037974683545
Caribe,110,2878.4851898734178
Surocciden,110,2171.799493670886
Oriental,110,2581.484683544304
Antioquia,110,1309.1082278481013
Antioquia,109,1316.4639240506328
Caribe,109,2894.657594936709
Nordeste,109,1159.8843037974684
Oriental,109,2595.989746835443
Surocciden,109,2184.0015189873416
Surocciden,108,2127.329493670886
Antioquia,108,1282.3027848101265
Caribe,108,2819.5449367088604
Nordeste,108,1129.7869620253164
Oriental,108,2528.6262025316455
Surocciden,107,2051.309367088608
Antioquia,107,1236.4808860759495
Caribe,107,2718.7893670886074
Nordeste,107,1089.4140506329115
Oriental,107,2438.2669620253164
Caribe,106,2625.099240506329
Surocciden,106,1980.6212658227846
Oriental,106,2354.2437974683544
Nordeste,106,1051.8726582278482
Antioquia,106,1193.8712658227848
Antioquia,105,1127.6293670886075
Oriental,105,2223.6191139240505
Nordeste,105,993.510253164557
Caribe,105,2479.4464556962025
Surocciden,105,1870.7264556962027
Surocciden,104,1759.4639240506328
Oriental,104,2091.3678481012657
Nordeste,104,934.4205063291139
Caribe,104,2331.979746835443
Antioquia,104,1060.562405063291
Antioquia,103,1036.9856962025317
Surocciden,103,1720.3489873417723
Oriental,103,2044.873417721519
Nordeste,103,913.6460759493671
Caribe,103,2280.1362025316457
Oriental,102,1972.7606329113923
Antioquia,102,1000.4150632911392
Caribe,102,2199.7263291139243
Nordeste,102,881.426329113924
Surocciden,102,1659.6803797468353
Surocciden,101,1633.5582278481013
Oriental,101,1941.7112658227848
Nordeste,101,867.5548101265823
Caribe,101,2165.106075949367
Antioquia,101,984.6701265822785
Antioquia,100,997.183417721519
Oriental,100,1966.387848101266
Nordeste,100,878.5794936708861
