Quarter,gen_tech,Type,Hour,gen_max_capacity_factor
Quarter 4,Hidro,labor,20,0.6346427487142704
Quarter 4,Hidro,labor,21,0.6326176872279764
Quarter 4,Hidro,labor,22,0.631025616951077
Quarter 4,Hidro,labor,23,0.6287730500468731
Quarter 1,RunOfRiver,labor,0,0.530285535165597
Quarter 1,RunOfRiver,labor,1,0.5227992275851981
Quarter 1,RunOfRiver,labor,2,0.5199510039409238
Quarter 1,RunOfRiver,labor,3,0.5181831547619057
Quarter 1,RunOfRiver,labor,4,0.5229528179169117
Quarter 1,RunOfRiver,labor,5,0.5296340840250832
Quarter 1,RunOfRiver,labor,6,0.5409845138198737
Quarter 1,RunOfRiver,labor,7,0.5560702104562357
Quarter 1,RunOfRiver,labor,8,0.5645822308520839
Quarter 1,RunOfRiver,labor,9,0.574586044662989
Quarter 1,RunOfRiver,labor,10,0.5776777507640297
Quarter 1,RunOfRiver,labor,11,0.5796729954716183
Quarter 1,RunOfRiver,labor,12,0.5703498614511829
Quarter 1,RunOfRiver,labor,13,0.561302587252442
Quarter 1,RunOfRiver,labor,14,0.5598712691058262
Quarter 1,RunOfRiver,labor,15,0.5624966628102069
Quarter 1,RunOfRiver,labor,16,0.6135708120074005
Quarter 1,RunOfRiver,labor,17,0.6181266359986447
Quarter 1,RunOfRiver,labor,18,0.6244574869543759
Quarter 1,RunOfRiver,labor,19,0.6214782139417092
Quarter 1,RunOfRiver,labor,20,0.6074465025534115
Quarter 1,RunOfRiver,labor,21,0.5896240942337396
Quarter 1,RunOfRiver,labor,22,0.5763439756324155
Quarter 1,RunOfRiver,labor,23,0.5705485567649344
Quarter 2,RunOfRiver,labor,0,0.6607432972172839
Quarter 2,RunOfRiver,labor,1,0.6498683715497101
Quarter 2,RunOfRiver,labor,2,0.6467080853276201
Quarter 2,RunOfRiver,labor,3,0.639407209739363
Quarter 2,RunOfRiver,labor,4,0.6373645629903244
Quarter 2,RunOfRiver,labor,5,0.6405640986555922
Quarter 2,RunOfRiver,labor,6,0.659521690257571
Quarter 2,RunOfRiver,labor,7,0.6708344652706657
Quarter 2,RunOfRiver,labor,8,0.6893119436898513
Quarter 2,RunOfRiver,labor,9,0.7032784545938389
Quarter 2,RunOfRiver,labor,10,0.7065088746682721
Quarter 2,RunOfRiver,labor,11,0.7145684329292455
Quarter 2,RunOfRiver,labor,12,0.7168185826497891
Quarter 2,RunOfRiver,labor,13,0.715436594285489
Quarter 2,RunOfRiver,labor,14,0.7149157697183023
Quarter 2,RunOfRiver,labor,15,0.7183499954418027
Quarter 2,RunOfRiver,labor,16,0.7588447377482356
Quarter 2,RunOfRiver,labor,17,0.7600926317118344
Quarter 2,RunOfRiver,labor,18,0.7553263370582022
Quarter 2,RunOfRiver,labor,19,0.7487071136517134
Quarter 2,RunOfRiver,labor,20,0.73640415571936
Quarter 2,RunOfRiver,labor,21,0.7264443375435421
Quarter 2,RunOfRiver,labor,22,0.7201726879543441
Quarter 2,RunOfRiver,labor,23,0.706555744272986
Quarter 3,RunOfRiver,labor,0,0.6874324884131491
Quarter 3,RunOfRiver,labor,1,0.6716397482755062
Quarter 3,RunOfRiver,labor,2,0.6692557828942831
Quarter 3,RunOfRiver,labor,3,0.6673001982101451
Quarter 3,RunOfRiver,labor,4,0.668260968832629
Quarter 3,RunOfRiver,labor,5,0.6683933713248338
Quarter 3,RunOfRiver,labor,6,0.6747911287108879
Quarter 3,RunOfRiver,labor,7,0.6858599271495907
Quarter 3,RunOfRiver,labor,8,0.6981870406861092
Quarter 3,RunOfRiver,labor,9,0.7096308325165285
Quarter 3,RunOfRiver,labor,10,0.7072741997383494
Quarter 3,RunOfRiver,labor,11,0.71297637023135
Quarter 3,RunOfRiver,labor,12,0.7049757508276723
Quarter 3,RunOfRiver,labor,13,0.6993945750711619
Quarter 3,RunOfRiver,labor,14,0.701497618538715
Quarter 3,RunOfRiver,labor,15,0.7028262546313405
Quarter 3,RunOfRiver,labor,16,0.7415738737340211
Quarter 3,RunOfRiver,labor,17,0.7516472544168388
Quarter 3,RunOfRiver,labor,18,0.772511933025927
Quarter 3,RunOfRiver,labor,19,0.7664522419427986
Quarter 3,RunOfRiver,labor,20,0.7559424261731432
Quarter 3,RunOfRiver,labor,21,0.7428403594428176
Quarter 3,RunOfRiver,labor,22,0.7303085519646759
Quarter 3,RunOfRiver,labor,23,0.7179319410404462
Quarter 4,RunOfRiver,labor,0,0.5955659464004691
Quarter 4,RunOfRiver,labor,1,0.5732500481653408
Quarter 4,RunOfRiver,labor,2,0.5717902574738483
Quarter 4,RunOfRiver,labor,3,0.5726273922485502
Quarter 4,RunOfRiver,labor,4,0.5735018890382457
Quarter 4,RunOfRiver,labor,5,0.5910603220160284
Quarter 4,RunOfRiver,labor,6,0.608219020069565
Quarter 4,RunOfRiver,labor,7,0.6243522357982714
Quarter 4,RunOfRiver,labor,8,0.6498748547110603
Quarter 4,RunOfRiver,labor,9,0.6619834811666949
Quarter 4,RunOfRiver,labor,10,0.6622222357725559
Quarter 4,RunOfRiver,labor,11,0.6726367922193581
Quarter 4,RunOfRiver,labor,12,0.6465235230008165
Quarter 4,RunOfRiver,labor,13,0.6290182694522201
Quarter 4,RunOfRiver,labor,14,0.6253466655076956
Quarter 4,RunOfRiver,labor,15,0.6263686505034352
Quarter 4,RunOfRiver,labor,16,0.6907005961974669
Quarter 4,RunOfRiver,labor,17,0.7115417957735908
Quarter 4,RunOfRiver,labor,18,0.7449351071868681
Quarter 4,RunOfRiver,labor,19,0.739705285263253
Quarter 4,RunOfRiver,labor,20,0.7162721403831558
Quarter 4,RunOfRiver,labor,21,0.6900023517062123
Quarter 4,RunOfRiver,labor,22,0.6756158485898797
Quarter 4,RunOfRiver,labor,23,0.6542833503177399
