timestamp,Tech,DispatchGen_MW,Quarter,DayType,Hour,Source,Subplot
2023_Q1_L_13h,Solar,268.7442092207792,Q1,Labor,13h,Real,Real-Labor
2023_Q1_L_14h,Solar,258.1261984415585,Q1,Labor,14h,Real,Real-Labor
2023_Q1_L_15h,Solar,239.45520363636365,Q1,Labor,15h,Real,Real-Labor
2023_Q1_L_16h,Solar,202.4776192207792,Q1,Labor,16h,Real,Real-Labor
2023_Q1_L_17h,Solar,124.7452374025974,Q1,Labor,17h,Real,Real-Labor
2023_Q1_L_18h,Solar,20.75173103896104,Q1,Labor,18h,Real,Real-Labor
2023_Q1_L_19h,Solar,0.0229995238095238,Q1,Labor,19h,Real,Real-Labor
2023_Q1_L_20h,Solar,4e-05,Q1,Labor,20h,Real,Real-Labor
2023_Q1_L_21h,Solar,3.0000000000000004e-05,Q1,Labor,21h,Real,Real-Labor
2023_Q1_L_0h,Wind,21.92822974025974,Q1,Labor,0h,Real,Real-Labor
2023_Q1_L_1h,Wind,20.540196103896104,Q1,Labor,1h,Real,Real-Labor
2023_Q1_L_2h,Wind,19.9055512987013,Q1,Labor,2h,Real,Real-Labor
2023_Q1_L_3h,Wind,19.21012909090909,Q1,Labor,3h,Real,Real-Labor
2023_Q1_L_4h,Wind,17.48599181818182,Q1,Labor,4h,Real,Real-Labor
2023_Q1_L_5h,Wind,16.509596363636362,Q1,Labor,5h,Real,Real-Labor
2023_Q1_L_6h,Wind,16.18208961038961,Q1,Labor,6h,Real,Real-Labor
2023_Q1_L_7h,Wind,15.743254078947368,Q1,Labor,7h,Real,Real-Labor
2023_Q1_L_8h,Wind,15.506857333333334,Q1,Labor,8h,Real,Real-Labor
2023_Q1_L_9h,Wind,17.344429078947368,Q1,Labor,9h,Real,Real-Labor
2023_Q1_L_10h,Wind,19.42024842105263,Q1,Labor,10h,Real,Real-Labor
2023_Q1_L_11h,Wind,20.94170802631579,Q1,Labor,11h,Real,Real-Labor
2023_Q1_L_12h,Wind,22.374570789473683,Q1,Labor,12h,Real,Real-Labor
2023_Q1_L_13h,Wind,23.75101592105263,Q1,Labor,13h,Real,Real-Labor
2023_Q1_L_14h,Wind,25.24773118421053,Q1,Labor,14h,Real,Real-Labor
2023_Q1_L_15h,Wind,25.824113466666667,Q1,Labor,15h,Real,Real-Labor
2023_Q1_L_16h,Wind,26.0896644,Q1,Labor,16h,Real,Real-Labor
2023_Q1_L_17h,Wind,26.02258434210526,Q1,Labor,17h,Real,Real-Labor
2023_Q1_L_18h,Wind,26.10633578947368,Q1,Labor,18h,Real,Real-Labor
2023_Q1_L_19h,Wind,25.701163289473683,Q1,Labor,19h,Real,Real-Labor
2023_Q1_L_20h,Wind,24.303351818181817,Q1,Labor,20h,Real,Real-Labor
2023_Q1_L_21h,Wind,23.228203896103896,Q1,Labor,21h,Real,Real-Labor
2023_Q1_L_22h,Wind,22.79565974025974,Q1,Labor,22h,Real,Real-Labor
2023_Q1_L_23h,Wind,22.503550909090908,Q1,Labor,23h,Real,Real-Labor
2023_Q1_L_0h,Hydro,6511.007878742,Q1,Labor,0h,Pred,Pred-Labor
2023_Q1_L_1h,Hydro,6028.445521497,Q1,Labor,1h,Pred,Pred-Labor
2023_Q1_L_2h,Hydro,6185.59437684,Q1,Labor,2h,Pred,Pred-Labor
2023_Q1_L_3h,Hydro,6167.685366638,Q1,Labor,3h,Pred,Pred-Labor
2023_Q1_L_4h,Hydro,5932.323464043,Q1,Labor,4h,Pred,Pred-Labor
2023_Q1_L_5h,Hydro,5728.132108873,Q1,Labor,5h,Pred,Pred-Labor
2023_Q1_L_6h,Hydro,6420.6689325779,Q1,Labor,6h,Pred,Pred-Labor
2023_Q1_L_7h,Hydro,6400.753656782,Q1,Labor,7h,Pred,Pred-Labor
2023_Q1_L_8h,Hydro,6500.3327297,Q1,Labor,8h,Pred,Pred-Labor
2023_Q1_L_9h,Hydro,6945.0225465193,Q1,Labor,9h,Pred,Pred-Labor
2023_Q1_L_10h,Hydro,6840.3233406656,Q1,Labor,10h,Pred,Pred-Labor
2023_Q1_L_11h,Hydro,7140.7736678638,Q1,Labor,11h,Pred,Pred-Labor
