GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
DST_Surocciden,2036,15.4422584557337
DST_Surocciden,2037,20.8924673224633
DST_Caribe,2024,25.8854601805687
DST_Caribe,2025,30.9500067376364
DST_Caribe,2026,33.4822800161703
DST_Caribe,2027,36.0145532947042
DST_Caribe,2028,36.0145532947042
DST_Caribe,2029,34.6077348066298
DST_Caribe,2030,30.6686430400216
DST_Caribe,2031,30.6686430400216
DST_Caribe,2032,25.6040964829538
DST_Caribe,2033,22.2277321115753
DST_Caribe,2034,22.5090958091901
DST_Caribe,2035,19.1327314378116
DST_Caribe,2036,14.3495485783587
DST_Caribe,2037,19.4140951354265
DST_Oriental,2024,15.2858105376634
DST_Oriental,2025,18.2765125993801
DST_Oriental,2026,19.7718636302385
DST_Oriental,2027,21.2672146610969
DST_Oriental,2028,21.2672146610969
DST_Oriental,2029,20.4364640883978
DST_Oriental,2030,18.1103624848403
DST_Oriental,2031,18.1103624848403
DST_Oriental,2032,15.1196604231236
DST_Oriental,2033,13.1258590486457
DST_Oriental,2034,13.2920091631856
DST_Oriental,2035,11.2982077887077
DST_Oriental,2036,8.47365584153079
DST_Oriental,2037,11.4643579032475
DST_Antioquia,2024,13.3890311278803
DST_Antioquia,2025,16.0086241746395
DST_Antioquia,2026,17.3184206980191
DST_Antioquia,2027,18.6282172213987
DST_Antioquia,2028,18.6282172213987
DST_Antioquia,2029,17.9005524861878
DST_Antioquia,2030,15.8630912275974
DST_Antioquia,2031,15.8630912275974
DST_Antioquia,2032,13.2434981808382
DST_Antioquia,2033,11.497102816332
DST_Antioquia,2034,11.6426357633742
DST_Antioquia,2035,9.89624039886808
DST_Antioquia,2036,7.42218029915106
DST_Antioquia,2037,10.0417733459103
DST_Nordeste,2024,9.58307505726991
DST_Nordeste,2025,11.4580245249966
DST_Nordeste,2026,12.39549925886
DST_Nordeste,2027,13.3329739927234
DST_Nordeste,2028,13.3329739927234
DST_Nordeste,2029,12.8121546961326
DST_Nordeste,2030,11.3538606656785
DST_Nordeste,2031,11.3538606656785
DST_Nordeste,2032,9.47891119795176
DST_Nordeste,2033,8.22894488613395
DST_Nordeste,2034,8.3331087454521
DST_Nordeste,2035,7.08314243363428
DST_Nordeste,2036,5.31235682522571
DST_Nordeste,2037,7.18730629295243
ITUANGO2,2026,1200.0
H_Antioquia,2024,1.6191140284277777e-07
H_Antioquia,2025,7.081883723534645e-10
H_Antioquia,2026,3.703384356113834e-10
H_Antioquia,2027,7.546354829482263e-10
H_Antioquia,2028,1.018468575200585e-09
H_Antioquia,2029,2.118442054630076e-09
H_Antioquia,2030,1.4885516642058681e-08
H_Antioquia,2031,1.2219819257327454e-08
H_Antioquia,2032,1.1400738475231372e-08
H_Antioquia,2033,1.2990477842421952e-08
H_Antioquia,2034,1.2852721863381292e-08
H_Antioquia,2035,1.0737171711334809e-08
T_Surocciden,2024,1.1020405219381166e-05
T_Surocciden,2025,3.841923338131534e-10
T_Surocciden,2026,2.1451392790592455e-10
T_Surocciden,2027,3.144991081579251e-10
T_Surocciden,2028,3.9485255680699636e-10
T_Surocciden,2029,5.785233243199543e-10
T_Surocciden,2030,1.3437172333356141e-09
T_Surocciden,2031,3.670451594291008e-09
T_Surocciden,2032,9.541796837561266e-10
T_Surocciden,2033,6.034121947225255e-10
T_Surocciden,2034,8.237710020613961e-10
T_Surocciden,2035,2.0982144108955503e-09
T_Caribe,2024,153.20000001751214
T_Caribe,2025,1.1715269213230925e-08
T_Caribe,2026,3.4627500232570517e-10
T_Caribe,2027,2.405770479691226e-10
T_Caribe,2028,2.1059194646924322e-10
T_Caribe,2029,2.130022531572833e-10
T_Caribe,2030,2.500209289313025e-10
T_Caribe,2031,2.715376293754619e-10
T_Caribe,2032,3.069537252169197e-10
T_Caribe,2033,3.69038901247908e-10
T_Caribe,2034,4.757741024837825e-10
T_Caribe,2035,8.209052429875491e-10
T_Oriental,2024,153.2000000172161
T_Oriental,2025,6.81184417609106e-10
T_Oriental,2026,2.580564390923482e-10
T_Oriental,2027,4.1602373934313385e-10
T_Oriental,2028,5.34887945227477e-10
T_Oriental,2029,8.615160595456412e-10
T_Oriental,2030,3.3140741232594817e-09
T_Oriental,2031,8.125080991355058e-08
T_Oriental,2032,2.3917521408375284e-09
T_Oriental,2033,8.087313564234272e-10
T_Oriental,2034,1.1317104303561627e-09
T_Oriental,2035,3.713428155303113e-09
T_Antioquia,2024,4.428923122229763e-07
T_Antioquia,2025,3.912431096289053e-10
T_Antioquia,2026,2.1701044604260334e-10
T_Antioquia,2027,2.920376022564889e-10
T_Antioquia,2028,3.307513999970267e-10
T_Antioquia,2029,3.816641059101122e-10
T_Antioquia,2030,4.78508386502166e-10
T_Antioquia,2031,4.974717074764465e-10
T_Antioquia,2032,5.305905459493825e-10
T_Antioquia,2033,5.937781501778687e-10
T_Antioquia,2034,7.153439732589345e-10
T_Antioquia,2035,1.1710521264811749e-09
T_Nordeste,2024,7.823951444416802e-07
T_Nordeste,2025,3.640054494810307e-10
T_Nordeste,2026,2.0212279025208755e-10
T_Nordeste,2027,2.6561892840693653e-10
T_Nordeste,2028,3.0012435560851615e-10
T_Nordeste,2029,3.5567421248609036e-10
T_Nordeste,2030,4.750608936051959e-10
T_Nordeste,2031,5.302743457702186e-10
T_Nordeste,2032,6.194494124076146e-10
T_Nordeste,2033,8.19973845192508e-10
T_Nordeste,2034,1.1645043123531103e-09
T_Nordeste,2035,3.096617913088103e-09
PV_Surocciden,2024,1.1090089911380505e-09
PV_Surocciden,2025,9.188923724209285e-09
PV_Surocciden,2026,1.9016900156299207e-08
PV_Surocciden,2027,2.3400035110464517e-08
PV_Surocciden,2028,2.3129789060972947e-08
PV_Surocciden,2029,2.5540164227432067e-08
PV_Surocciden,2030,4.202867717694073e-08
PV_Surocciden,2031,1.2029405956101153e-07
PV_Surocciden,2032,1.0395132322843818e-07
PV_Surocciden,2033,1.3886809828998859e-08
PV_Surocciden,2034,1.466579156346248e-07
PV_Surocciden,2035,1.2322658439509447e-06
PV_Caribe,2024,1.5137956499811313e-09
PV_Caribe,2025,1.862698838198146e-08
PV_Caribe,2026,1.566338027501911e-08
PV_Caribe,2027,2.1673544435790963e-08
PV_Caribe,2028,2.2121740141253105e-08
PV_Caribe,2029,2.5061948997409876e-08
PV_Caribe,2030,4.132247443483159e-08
PV_Caribe,2031,4.461248882187816e-08
PV_Caribe,2032,5.528604788768499e-08
PV_Caribe,2033,7.869884731024663e-08
PV_Caribe,2034,1.3896905914179258e-07
PV_Caribe,2035,1.3802274931667106e-07
PV_Oriental,2024,1.2075487546028224e-09
PV_Oriental,2025,1.2231774656186631e-08
PV_Oriental,2026,1.747299815874617e-08
PV_Oriental,2027,2.3681363462187934e-08
PV_Oriental,2028,2.3588981983826496e-08
PV_Oriental,2029,2.5996875360892672e-08
PV_Oriental,2030,4.462967463743862e-08
PV_Oriental,2031,1.4313125139936343e-07
PV_Oriental,2032,1.2361222706954814e-07
PV_Oriental,2033,1.251137011823241e-08
PV_Oriental,2034,1.7892640422420404e-07
PV_Oriental,2035,565.1604396573538
PV_Antioquia,2024,8.821892648274264e-10
PV_Antioquia,2025,5.615880759912575e-09
PV_Antioquia,2026,1.932445816447984e-08
PV_Antioquia,2027,2.289866054379408e-08
PV_Antioquia,2028,2.2206257799244566e-08
PV_Antioquia,2029,2.4344606630476246e-08
PV_Antioquia,2030,3.613496522216587e-08
PV_Antioquia,2031,3.947449978031191e-08
PV_Antioquia,2032,4.760088329745786e-08
PV_Antioquia,2033,6.404148033034852e-08
PV_Antioquia,2034,9.774022933685337e-08
PV_Antioquia,2035,1.095879359962629e-07
PV_Nordeste,2024,1.5192300519274495e-09
PV_Nordeste,2025,1.705600950723994e-08
PV_Nordeste,2026,1.5274609598920255e-08
PV_Nordeste,2027,2.3353011278671974e-08
PV_Nordeste,2028,2.3693619763917192e-08
PV_Nordeste,2029,2.6168976815197442e-08
PV_Nordeste,2030,4.343105163666417e-08
PV_Nordeste,2031,4.931331217272779e-08
PV_Nordeste,2032,6.265092150473288e-08
PV_Nordeste,2033,1.0377568405322519e-07
PV_Nordeste,2034,2.1513872407835744e-07
