GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
BARRANQUILL3,410,GASIMPOR,6.543900769115643e-06
BARRANQUILL3,411,GASIMPOR,6.542983491471724e-06
BARRANQUILL3,412,GASIMPOR,6.542392787213484e-06
BARRANQUILL3,413,GASIMPOR,6.541869471217041e-06
BARRANQUILL3,414,GASIMPOR,6.542247823459448e-06
BARRANQUILL3,415,GASIMPOR,6.5426355605852744e-06
BARRANQUILL3,416,GASIMPOR,6.377789359850934e-06
BARRANQUILL3,417,GASIMPOR,6.3751551959927656e-06
BARRANQUILL3,418,GASIMPOR,6.374832531037101e-06
BARRANQUILL3,419,GASIMPOR,6.374524844803318e-06
BARRANQUILL3,420,GASIMPOR,6.374716198963713e-06
BARRANQUILL3,421,GASIMPOR,6.375400863997524e-06
BARRANQUILL3,422,GASIMPOR,6.376606093105485e-06
BARRANQUILL3,423,GASIMPOR,6.543177428512844e-06
BARRANQUILL3,424,GASIMPOR,6.546245251485603e-06
BARRANQUILL3,425,GASIMPOR,7.208437828670055e-06
BARRANQUILL3,426,GASIMPOR,7.216033534396299e-06
BARRANQUILL3,427,GASIMPOR,7.215452097160457e-06
BARRANQUILL3,428,GASIMPOR,7.247288218657628e-06
BARRANQUILL3,429,GASIMPOR,7.248085175678447e-06
BARRANQUILL3,430,GASIMPOR,7.246868538903288e-06
BARRANQUILL3,431,GASIMPOR,7.216040400458264e-06
BARRANQUILL3,432,GASIMPOR,7.207361844023677e-06
BARRANQUILL3,433,GASIMPOR,1.008224833617161e-06
BARRANQUILL3,434,GASIMPOR,1.0070212173722602e-06
BARRANQUILL3,435,GASIMPOR,1.0069824456776977e-06
BARRANQUILL3,436,GASIMPOR,1.0069155009053481e-06
BARRANQUILL3,437,GASIMPOR,1.0069038992187148e-06
BARRANQUILL3,438,GASIMPOR,1.0068997280813168e-06
BARRANQUILL3,439,GASIMPOR,1.0069120316245923e-06
BARRANQUILL3,440,GASIMPOR,1.0068699531935926e-06
BARRANQUILL3,441,GASIMPOR,9.861326091865137e-07
BARRANQUILL3,442,GASIMPOR,9.86005746364461e-07
BARRANQUILL3,443,GASIMPOR,9.859628241841649e-07
BARRANQUILL3,444,GASIMPOR,9.859916894673214e-07
BARRANQUILL3,445,GASIMPOR,9.861697329152243e-07
BARRANQUILL3,446,GASIMPOR,1.0068967270972959e-06
BARRANQUILL3,447,GASIMPOR,1.0069581578207906e-06
BARRANQUILL3,448,GASIMPOR,1.0083181476310036e-06
BARRANQUILL3,449,GASIMPOR,1.2026371658786406e-06
BARRANQUILL3,450,GASIMPOR,1.2036364068686445e-06
BARRANQUILL3,451,GASIMPOR,1.203602771057905e-06
BARRANQUILL3,452,GASIMPOR,1.204114141798876e-06
BARRANQUILL3,453,GASIMPOR,1.2041986541734034e-06
BARRANQUILL3,454,GASIMPOR,1.2041354947039463e-06
BARRANQUILL3,455,GASIMPOR,1.2036802942264414e-06
BARRANQUILL3,456,GASIMPOR,1.2025987972938443e-06
BARRANQUILL3,457,GASIMPOR,7.029938479603791e-06
BARRANQUILL3,458,GASIMPOR,7.027437352561836e-06
BARRANQUILL3,459,GASIMPOR,7.02652446787206e-06
BARRANQUILL3,460,GASIMPOR,7.025912031949173e-06
BARRANQUILL3,461,GASIMPOR,7.025660510177824e-06
BARRANQUILL3,462,GASIMPOR,7.026039467610302e-06
BARRANQUILL3,463,GASIMPOR,7.026929760011027e-06
BARRANQUILL3,464,GASIMPOR,7.025754036100925e-06
BARRANQUILL3,465,GASIMPOR,7.024872424500898e-06
BARRANQUILL3,466,GASIMPOR,7.02153694279286e-06
BARRANQUILL3,467,GASIMPOR,6.81475338013617e-06
BARRANQUILL3,468,GASIMPOR,7.016643770404746e-06
BARRANQUILL3,469,GASIMPOR,7.025616260452087e-06
BARRANQUILL3,470,GASIMPOR,7.026269597553766e-06
BARRANQUILL3,471,GASIMPOR,7.027823113775317e-06
BARRANQUILL3,472,GASIMPOR,7.207868634797175e-06
BARRANQUILL3,473,GASIMPOR,7.21679316663472e-06
BARRANQUILL3,474,GASIMPOR,7.2476861660526915e-06
BARRANQUILL3,475,GASIMPOR,7.218022677711411e-06
BARRANQUILL3,476,GASIMPOR,7.2492303601128265e-06
BARRANQUILL3,477,GASIMPOR,7.250319138925667e-06
