GEN_TPS_1,GEN_TPS_2,DispatchGen
AMOYA,1396,80.0
AMOYA,1397,80.0
AMOYA,1398,0.00303
AMOYA,1399,80.0
AMOYA,1400,0.00303
AMOYA,1401,0.00303
AMOYA,1402,80.0
AMOYA,1403,4.2009284
AMOYA,1404,0.00303
AMOYA,1405,80.0
AMOYA,1406,0.00303
AMOYA,1407,80.0
AMOYA,1408,80.0
AMOYA,1409,80.0
AMOYA,1410,80.0
AMOYA,1411,80.0
AMOYA,1412,80.0
AMOYA,1413,0.00303
AMOYA,1414,0.00303
AMOYA,1415,0.00303
AMOYA,1416,80.0
AMOYA,1417,0.02993
AMOYA,1418,80.0
AMOYA,1419,80.0
AMOYA,1420,80.0
AMOYA,1421,0.02993
AMOYA,1422,0.02993
AMOYA,1423,0.02993
AMOYA,1424,0.02993
AMOYA,1425,80.0
AMOYA,1426,80.0
AMOYA,1427,80.0
AMOYA,1428,0.02993
AMOYA,1429,80.0
AMOYA,1430,0.02993
AMOYA,1431,0.02993
AMOYA,1432,57.756003
AMOYA,1433,80.0
AMOYA,1434,80.0
AMOYA,1435,80.0
AMOYA,1436,80.0
AMOYA,1437,80.0
AMOYA,1438,80.0
AMOYA,1439,80.0
AMOYA,1440,2.3966526
AMOYA,1441,80.0
AMOYA,1442,0.03678
AMOYA,1443,0.03678
AMOYA,1444,80.0
AMOYA,1445,0.03678
AMOYA,1446,80.0
AMOYA,1447,80.0
AMOYA,1448,80.0
AMOYA,1449,80.0
AMOYA,1450,80.0
AMOYA,1451,0.03678
AMOYA,1452,80.0
AMOYA,1453,0.03678
AMOYA,1454,80.0
AMOYA,1455,80.0
AMOYA,1456,80.0
AMOYA,1457,80.0
AMOYA,1458,80.0
AMOYA,1459,80.0
AMOYA,1460,80.0
AMOYA,1461,80.0
AMOYA,1462,2.2248888
AMOYA,1463,80.0
AMOYA,1464,80.0
AMOYA,1465,80.0
AMOYA,1466,1.4006
AMOYA,1467,80.0
AMOYA,1468,1.4006
AMOYA,1469,1.4006
AMOYA,1470,80.0
AMOYA,1471,1.4006
AMOYA,1472,80.0
AMOYA,1473,80.0
AMOYA,1474,52.724211
AMOYA,1475,80.0
AMOYA,1476,1.4006
AMOYA,1477,80.0
AMOYA,1478,80.0
AMOYA,1479,80.0
AMOYA,1480,80.0
AMOYA,1481,80.0
AMOYA,1482,80.0
AMOYA,1483,1.4006
AMOYA,1484,80.0
AMOYA,1485,80.0
AMOYA,1486,80.0
AMOYA,1487,80.0
AMOYA,1488,80.0
AMOYA,1489,80.0
AMOYA,1490,45.181741
AMOYA,1491,80.0
AMOYA,1492,0.00135
AMOYA,1493,0.00135
AMOYA,1494,80.0
AMOYA,1495,0.00135
AMOYA,1496,0.00135
AMOYA,1497,0.00135
AMOYA,1498,80.0
AMOYA,1499,80.0
AMOYA,1500,5.5598137
AMOYA,1501,80.0
AMOYA,1502,0.00135
AMOYA,1503,80.0
AMOYA,1504,80.0
AMOYA,1505,80.0
AMOYA,1506,80.0
AMOYA,1507,80.0
AMOYA,1508,80.0
AMOYA,1509,80.0
AMOYA,1510,80.0
AMOYA,1511,0.00135
AMOYA,1512,80.0
AMOYA,1513,80.0
AMOYA,1514,0.00781
AMOYA,1515,0.00781
AMOYA,1516,0.00781
AMOYA,1517,0.00781
AMOYA,1518,80.0
AMOYA,1519,80.0
AMOYA,1520,0.00781
AMOYA,1521,80.0
AMOYA,1522,80.0
AMOYA,1523,0.00781
AMOYA,1524,80.0
AMOYA,1525,80.0
AMOYA,1526,80.0
AMOYA,1527,80.0
AMOYA,1528,80.0
AMOYA,1529,80.0
AMOYA,1530,0.00781
AMOYA,1531,80.0
AMOYA,1532,80.0
AMOYA,1533,0.00781
AMOYA,1534,0.00781
AMOYA,1535,80.0
AMOYA,1536,30.54419
AMOYA,2305,0.00585
AMOYA,2306,0.00585
AMOYA,2307,0.00585
AMOYA,2308,80.0
AMOYA,2309,0.00585
AMOYA,2310,0.00585
AMOYA,2311,80.0
AMOYA,2312,0.00585
AMOYA,2313,80.0
AMOYA,2314,0.00585
AMOYA,2315,80.0
AMOYA,2316,0.00585
AMOYA,2317,0.00585
AMOYA,2318,80.0
AMOYA,2319,0.00585
AMOYA,2320,0.00585
AMOYA,2321,12.740868
AMOYA,2322,0.00585
AMOYA,2323,80.0
AMOYA,2324,80.0
AMOYA,2325,0.00585
AMOYA,2326,80.0
AMOYA,2327,80.0
AMOYA,2328,80.0
AMOYA,2329,80.0
AMOYA,2330,0.53926
AMOYA,2331,0.53926
AMOYA,2332,0.53926
AMOYA,2333,0.53926
AMOYA,2334,80.0
AMOYA,2335,80.0
AMOYA,2336,0.53926
AMOYA,2337,0.53926
AMOYA,2338,0.53926
AMOYA,2339,80.0
AMOYA,2340,80.0
AMOYA,2341,0.53926
AMOYA,2342,0.53926
AMOYA,2343,0.53926
AMOYA,2344,0.53926
AMOYA,2345,0.53926
AMOYA,2346,80.0
AMOYA,2347,80.0
AMOYA,2348,80.0
AMOYA,2349,0.53926
AMOYA,2350,45.068467
AMOYA,2351,80.0
AMOYA,2352,80.0
AMOYA,2353,80.0
AMOYA,2354,0.00303
AMOYA,2355,80.0
AMOYA,2356,80.0
AMOYA,2357,80.0
AMOYA,2358,0.00303
AMOYA,2359,0.00303
AMOYA,2360,80.0
AMOYA,2361,0.00303
AMOYA,2362,0.00303
AMOYA,2363,80.0
AMOYA,2364,0.00303
AMOYA,2365,80.0
AMOYA,2366,80.0
AMOYA,2367,0.00303
AMOYA,2368,0.00303
AMOYA,2369,80.0
AMOYA,2370,0.00303
AMOYA,2371,80.0
AMOYA,2372,80.0
AMOYA,2373,80.0
AMOYA,2374,80.0
AMOYA,2375,4.2009284
AMOYA,2376,80.0
AMOYA,2377,80.0
AMOYA,2378,80.0
AMOYA,2379,80.0
AMOYA,2380,80.0
AMOYA,2381,80.0
AMOYA,2382,0.02993
AMOYA,2383,0.02993
AMOYA,2384,80.0
AMOYA,2385,0.02993
AMOYA,2386,0.02993
AMOYA,2387,0.02993
AMOYA,2388,0.02993
AMOYA,2389,0.02993
AMOYA,2390,0.02993
AMOYA,2391,80.0
AMOYA,2392,0.02993
AMOYA,2393,80.0
AMOYA,2394,80.0
AMOYA,2395,60.122726
AMOYA,2396,80.0
AMOYA,2397,80.0
AMOYA,2398,80.0
AMOYA,2399,80.0
AMOYA,2400,80.0
AMOYA,2401,80.0
AMOYA,2402,80.0
AMOYA,2403,80.0
AMOYA,2404,80.0
AMOYA,2405,80.0
AMOYA,2406,0.03678
AMOYA,2407,80.0
AMOYA,2408,0.03678
AMOYA,2409,80.0
AMOYA,2410,0.03678
AMOYA,2411,80.0
AMOYA,2412,2.2248888
AMOYA,2413,0.03678
AMOYA,2414,80.0
AMOYA,2415,80.0
AMOYA,2416,80.0
AMOYA,2417,80.0
AMOYA,2418,80.0
AMOYA,2419,0.03678
AMOYA,2420,80.0
AMOYA,2421,80.0
AMOYA,2422,80.0
AMOYA,2423,80.0
AMOYA,2424,80.0
AMOYA,2425,80.0
AMOYA,2426,80.0
AMOYA,2427,1.4006
AMOYA,2428,80.0
AMOYA,2429,80.0
AMOYA,2430,1.4006
AMOYA,2431,1.4006
AMOYA,2432,80.0
AMOYA,2433,80.0
AMOYA,2434,1.4006
AMOYA,2435,1.4006
AMOYA,2436,1.4006
AMOYA,2437,80.0
AMOYA,2438,52.724211
AMOYA,2439,80.0
AMOYA,2440,80.0
AMOYA,2441,80.0
AMOYA,2442,80.0
AMOYA,2443,80.0
AMOYA,2444,80.0
AMOYA,2445,80.0
AMOYA,2446,80.0
AMOYA,2447,80.0
AMOYA,2448,80.0
AMOYA,2449,80.0
AMOYA,2450,0.00135
AMOYA,2451,80.0
AMOYA,2452,80.0
AMOYA,2453,0.00135
AMOYA,2454,80.0
AMOYA,2455,0.00135
AMOYA,2456,0.00135
AMOYA,2457,80.0
AMOYA,2458,0.00135
AMOYA,2459,80.0
AMOYA,2460,0.00135
AMOYA,2461,0.00135
AMOYA,2462,0.00135
AMOYA,2463,80.0
AMOYA,2464,80.0
AMOYA,2465,50.740205
AMOYA,2466,80.0
AMOYA,2467,80.0
AMOYA,2468,80.0
AMOYA,2469,80.0
AMOYA,2470,80.0
AMOYA,2471,80.0
AMOYA,2472,80.0
AMOYA,2473,80.0
AMOYA,2474,80.0
AMOYA,2475,80.0
AMOYA,2476,0.00781
AMOYA,2477,80.0
AMOYA,2478,0.00781
AMOYA,2479,0.00781
AMOYA,2480,75.890537
AMOYA,2481,0.00781
AMOYA,2482,34.653653
AMOYA,2483,0.00781
AMOYA,2484,80.0
AMOYA,2485,0.00781
AMOYA,2486,0.00781
AMOYA,2487,80.0
AMOYA,2488,0.00781
AMOYA,2489,0.00781
AMOYA,2490,80.0
AMOYA,2491,80.0
AMOYA,2492,80.0
AMOYA,2493,80.0
AMOYA,2494,80.0
AMOYA,2495,80.0
AMOYA,2496,80.0
AMOYA,3265,0.00585
AMOYA,3266,0.00585
AMOYA,3267,0.00585
AMOYA,3268,2.375876
AMOYA,3269,0.00585
AMOYA,3270,77.169093
AMOYA,3271,80.0
AMOYA,3272,0.00585
AMOYA,3273,0.00585
AMOYA,3274,80.0
AMOYA,3275,0.00585
AMOYA,3276,80.0
AMOYA,3277,31.532873
AMOYA,3278,0.00585
AMOYA,3279,80.0
AMOYA,3280,80.0
AMOYA,3281,48.728154
AMOYA,3282,80.0
AMOYA,3283,80.0
AMOYA,3284,80.0
AMOYA,3285,0.00585
AMOYA,3286,0.00585
AMOYA,3287,0.00585
AMOYA,3288,12.946572
AMOYA,3289,80.0
AMOYA,3290,80.0
AMOYA,3291,0.53926
AMOYA,3292,80.0
AMOYA,3293,0.53926
AMOYA,3294,0.53926
AMOYA,3295,80.0
AMOYA,3296,0.53926
AMOYA,3297,0.53926
AMOYA,3298,0.53926
AMOYA,3299,80.0
AMOYA,3300,0.53926
AMOYA,3301,0.53926
AMOYA,3302,80.0
AMOYA,3303,80.0
AMOYA,3304,45.068467
AMOYA,3305,0.53926
