HYDRO_GEN_TS_1,HYDRO_GEN_TS_2,Relax_Enforce_Hydro_Avg_Flow_up
ESCUELAMINAS,2023_Q4_labor,1.0723433092353526e-17
ESCUELAMINAS,2023_Q4_holidays,1.07234330884639e-17
ESCUELAMINAS,2024_Q1_labor,1.0723433210021211e-17
ESCUELAMINAS,2024_Q1_holidays,1.0723433322242619e-17
ESCUELAMINAS,2024_Q2_labor,1.0723433096054587e-17
ESCUELAMINAS,2024_Q2_holidays,1.0723433108022357e-17
ESCUELAMINAS,2024_Q3_labor,1.0723433092138885e-17
ESCUELAMINAS,2024_Q3_holidays,1.0723433091472894e-17
ESCUELAMINAS,2024_Q4_labor,1.072343309207068e-17
ESCUELAMINAS,2024_Q4_holidays,1.0723433095095722e-17
ESMERALDA,2023_Q1_labor,1.0723433080772914e-17
ESMERALDA,2023_Q1_holidays,1.0723433081071807e-17
ESMERALDA,2023_Q2_labor,1.0723433082040702e-17
ESMERALDA,2023_Q2_holidays,1.0723433081446927e-17
ESMERALDA,2023_Q3_labor,1.0723433090692562e-17
ESMERALDA,2023_Q3_holidays,1.0723433097689473e-17
ESMERALDA,2023_Q4_labor,1.0723433102876978e-17
ESMERALDA,2023_Q4_holidays,1.072343310059215e-17
ESMERALDA,2024_Q1_labor,1.0723433080720758e-17
ESMERALDA,2024_Q1_holidays,1.0723433078843146e-17
ESMERALDA,2024_Q2_labor,1.07234330820728e-17
ESMERALDA,2024_Q2_holidays,1.072343308056429e-17
ESMERALDA,2024_Q3_labor,1.072343309057822e-17
ESMERALDA,2024_Q3_holidays,1.0723433103733539e-17
ESMERALDA,2024_Q4_labor,1.0723433102618205e-17
ESMERALDA,2024_Q4_holidays,1.0723433109181822e-17
GUATAPE,2023_Q1_labor,1.0723433071441022e-17
GUATAPE,2023_Q1_holidays,1.0723433071932492e-17
GUATAPE,2023_Q2_labor,1.0723433067715888e-17
GUATAPE,2023_Q2_holidays,1.0723433066897442e-17
GUATAPE,2023_Q3_labor,1.0723433067567445e-17
GUATAPE,2023_Q3_holidays,1.0723433067727925e-17
GUATAPE,2023_Q4_labor,1.0723433066867353e-17
GUATAPE,2023_Q4_holidays,1.072343306616726e-17
GUATAPE,2024_Q1_labor,1.0723433071487161e-17
GUATAPE,2024_Q1_holidays,1.0723433071733897e-17
GUATAPE,2024_Q2_labor,1.0723433067749991e-17
GUATAPE,2024_Q2_holidays,1.072343306733475e-17
GUATAPE,2024_Q3_labor,1.0723433067601547e-17
GUATAPE,2024_Q3_holidays,1.072343306803083e-17
GUATAPE,2024_Q4_labor,1.0723433066801155e-17
GUATAPE,2024_Q4_holidays,1.0723433072835189e-17
GUAVIO,2023_Q1_labor,1.072343308253819e-17
GUAVIO,2023_Q1_holidays,1.0723433082155044e-17
GUAVIO,2023_Q2_labor,1.0723433087196112e-17
GUAVIO,2023_Q2_holidays,1.0723433085460924e-17
GUAVIO,2023_Q3_labor,1.072343308952106e-17
GUAVIO,2023_Q3_holidays,1.0723433086050687e-17
GUAVIO,2023_Q4_labor,1.0723433092724636e-17
GUAVIO,2023_Q4_holidays,1.0723433092622329e-17
GUAVIO,2024_Q1_labor,1.0723433083137982e-17
GUAVIO,2024_Q1_holidays,1.072343309235152e-17
GUAVIO,2024_Q2_labor,1.0723433086814972e-17
