HYDRO_GEN_TS_1,HYDRO_GEN_TS_2,Relax_Enforce_Hydro_Avg_Flow_down
CUCUANA,2023_Q3_labor,0.0
CUCUANA,2023_Q3_holidays,0.0
CUCUANA,2023_Q4_labor,0.0
CUCUANA,2023_Q4_holidays,0.0
CUCUANA,2024_Q1_labor,0.0
CUCUANA,2024_Q1_holidays,0.0
CUCUANA,2024_Q2_labor,0.0
CUCUANA,2024_Q2_holidays,0.0
CUCUANA,2024_Q3_labor,0.0
CUCUANA,2024_Q3_holidays,0.0
CUCUANA,2024_Q4_labor,0.0
CUCUANA,2024_Q4_holidays,0.0
C_LLERAS_R,2023_Q1_labor,0.0
C_LLERAS_R,2023_Q1_holidays,0.0
C_LLERAS_R,2023_Q2_labor,0.0
C_LLERAS_R,2023_Q2_holidays,0.0
C_LLERAS_R,2023_Q3_labor,0.0
C_LLERAS_R,2023_Q3_holidays,0.0
C_LLERAS_R,2023_Q4_labor,0.0
C_LLERAS_R,2023_Q4_holidays,0.0
C_LLERAS_R,2024_Q1_labor,0.0
C_LLERAS_R,2024_Q1_holidays,0.0
C_LLERAS_R,2024_Q2_labor,0.0
C_LLERAS_R,2024_Q2_holidays,0.0
C_LLERAS_R,2024_Q3_labor,0.0
C_LLERAS_R,2024_Q3_holidays,0.0
C_LLERAS_R,2024_Q4_labor,0.0
C_LLERAS_R,2024_Q4_holidays,0.0
DARIO VALENC,2023_Q1_labor,0.0
DARIO VALENC,2023_Q1_holidays,0.0
DARIO VALENC,2023_Q2_labor,0.0
DARIO VALENC,2023_Q2_holidays,0.0
DARIO VALENC,2023_Q3_labor,0.0
DARIO VALENC,2023_Q3_holidays,0.0
DARIO VALENC,2023_Q4_labor,0.0
DARIO VALENC,2023_Q4_holidays,0.0
DARIO VALENC,2024_Q1_labor,0.0
DARIO VALENC,2024_Q1_holidays,0.0
DARIO VALENC,2024_Q2_labor,0.0
DARIO VALENC,2024_Q2_holidays,0.0
DARIO VALENC,2024_Q3_labor,0.0
DARIO VALENC,2024_Q3_holidays,0.0
DARIO VALENC,2024_Q4_labor,0.0
DARIO VALENC,2024_Q4_holidays,0.0
EL QUIMBO,2023_Q1_labor,0.0
EL QUIMBO,2023_Q1_holidays,0.0
EL QUIMBO,2023_Q2_labor,0.0
EL QUIMBO,2023_Q2_holidays,0.0
EL QUIMBO,2023_Q3_labor,0.0
EL QUIMBO,2023_Q3_holidays,0.0
EL QUIMBO,2023_Q4_labor,0.0
EL QUIMBO,2023_Q4_holidays,0.0
EL QUIMBO,2024_Q1_labor,0.0
EL QUIMBO,2024_Q1_holidays,0.0
EL QUIMBO,2024_Q2_labor,0.0
EL QUIMBO,2024_Q2_holidays,0.0
EL QUIMBO,2024_Q3_labor,0.0
EL QUIMBO,2024_Q3_holidays,0.0
EL QUIMBO,2024_Q4_labor,0.0
EL QUIMBO,2024_Q4_holidays,0.0
