var_cap_id,timepoint_id,gen_max_capacity_factor
SolarCaribe,167,0.0
SolarCaribe,168,0.0
SolarCaribe,169,0.0
SolarCaribe,17,0.22387751672526243
SolarCaribe,170,0.0
SolarCaribe,171,0.0
SolarCaribe,172,0.0
SolarCaribe,173,0.0
SolarCaribe,174,0.00015062190928023203
SolarCaribe,175,0.04228309250755001
SolarCaribe,176,0.17325983525480845
SolarCaribe,177,0.32992181700549295
SolarCaribe,178,0.47516179341165626
SolarCaribe,179,0.5888607095852231
SolarCaribe,18,0.03931610285404786
SolarCaribe,180,0.651396540823998
SolarCaribe,181,0.6474769334363024
SolarCaribe,182,0.5783667125110409
SolarCaribe,183,0.45835816149121844
SolarCaribe,184,0.3095425636786167
SolarCaribe,185,0.15821899635710196
SolarCaribe,186,0.03549679911430852
SolarCaribe,187,2.599877651486026e-06
SolarCaribe,188,0.0
SolarCaribe,189,0.0
SolarCaribe,19,0.0
SolarCaribe,190,0.0
SolarCaribe,191,0.0
SolarCaribe,192,0.0
SolarCaribe,2,0.0
SolarCaribe,20,0.0
SolarCaribe,21,0.0
SolarCaribe,22,0.0
SolarCaribe,23,0.0
SolarCaribe,24,0.0
SolarCaribe,25,0.0
SolarCaribe,26,0.0
SolarCaribe,27,0.0
SolarCaribe,28,0.0
SolarCaribe,29,0.0
SolarCaribe,3,0.0
SolarCaribe,30,2.684453601161403e-06
SolarCaribe,31,0.07590502851747044
SolarCaribe,32,0.26307975334300315
SolarCaribe,33,0.49918339669347556
SolarCaribe,34,0.7034505766304202
SolarCaribe,35,0.8488222807346588
SolarCaribe,36,0.9144275138775977
SolarCaribe,37,0.9073618744523586
SolarCaribe,38,0.8196435449724233
SolarCaribe,39,0.6572123513033165
SolarCaribe,4,0.0
SolarCaribe,40,0.4491683574230484
SolarCaribe,41,0.22482169745653546
SolarCaribe,42,0.03982382156243707
SolarCaribe,43,0.0
SolarCaribe,44,0.0
SolarCaribe,45,0.0
SolarCaribe,46,0.0
SolarCaribe,47,0.0
SolarCaribe,48,0.0
SolarCaribe,49,0.0
SolarCaribe,5,0.0
SolarCaribe,50,0.0
SolarCaribe,51,0.0
SolarCaribe,52,0.0
SolarCaribe,53,0.0
SolarCaribe,54,0.00153072354298019
SolarCaribe,55,0.07586276623828364
SolarCaribe,56,0.24541086502064308
SolarCaribe,57,0.4393436000624548
SolarCaribe,58,0.6159987557749383
SolarCaribe,59,0.7431784361726778
SolarCaribe,6,1.3565847939681272e-06
SolarCaribe,60,0.7999420497318422
SolarCaribe,61,0.7890778706372877
SolarCaribe,62,0.7078054056401835
SolarCaribe,63,0.5650386220385054
SolarCaribe,64,0.38959235598154335
SolarCaribe,65,0.20962564799665306
SolarCaribe,66,0.05480395114187877
SolarCaribe,67,0.0002999092890845628
SolarCaribe,68,0.0
SolarCaribe,69,0.0
SolarCaribe,7,0.07533694917069968
SolarCaribe,70,0.0
SolarCaribe,71,0.0
SolarCaribe,72,0.0
SolarCaribe,73,0.0
SolarCaribe,74,0.0
SolarCaribe,75,0.0
SolarCaribe,76,0.0
SolarCaribe,77,0.0
SolarCaribe,78,0.001557410255019679
SolarCaribe,79,0.07499720298866591
SolarCaribe,8,0.26288377166752536
SolarCaribe,80,0.24310442418950193
SolarCaribe,81,0.43553969899020245
SolarCaribe,82,0.610381667840249
SolarCaribe,83,0.7352997143197411
SolarCaribe,84,0.7898149891880741
SolarCaribe,85,0.7788729140726182
SolarCaribe,86,0.69904332338765
SolarCaribe,87,0.5577500852765551
SolarCaribe,88,0.38457164399591903
SolarCaribe,89,0.2073156405263368
SolarCaribe,9,0.49926814162343286
SolarCaribe,90,0.05470466805422594
SolarCaribe,91,0.0003125318918725664
SolarCaribe,92,0.0
SolarCaribe,93,0.0
SolarCaribe,94,0.0
SolarCaribe,95,0.0
SolarCaribe,96,0.0
SolarCaribe,97,0.0
SolarCaribe,98,0.0
SolarCaribe,99,0.0
SolarNordeste,1,0.0
SolarNordeste,10,0.6764482911458378
SolarNordeste,100,0.0
SolarNordeste,101,0.0
SolarNordeste,102,0.004560799882096606
SolarNordeste,103,0.09462307241361698
SolarNordeste,104,0.2622716598851227
SolarNordeste,105,0.4401004284079673
SolarNordeste,106,0.5942256667564216
SolarNordeste,107,0.7000777152240516
SolarNordeste,108,0.7424091152720252
SolarNordeste,109,0.7148893536377654
SolarNordeste,11,0.8076237895856755
SolarNordeste,110,0.6255862754339037
SolarNordeste,111,0.4912781649009132
SolarNordeste,112,0.33342697932726245
SolarNordeste,113,0.17410628738232006
SolarNordeste,114,0.04257401316785602
SolarNordeste,115,3.065054344057233e-05
SolarNordeste,116,0.0
SolarNordeste,117,0.0
SolarNordeste,118,0.0
SolarNordeste,119,0.0
SolarNordeste,12,0.8651598150084415
SolarNordeste,120,0.0
SolarNordeste,121,0.0
SolarNordeste,122,0.0
SolarNordeste,123,0.0
SolarNordeste,124,0.0
SolarNordeste,125,0.0
SolarNordeste,126,0.004594055762344346
SolarNordeste,127,0.09490539259749069
SolarNordeste,128,0.26349111800707675
SolarNordeste,129,0.44289779476464575
SolarNordeste,13,0.8432870419197929
SolarNordeste,130,0.5985447910421999
SolarNordeste,131,0.7059451406880536
SolarNordeste,132,0.7490478650087092
SolarNordeste,133,0.7208192479697796
SolarNordeste,134,0.6305999181774448
SolarNordeste,135,0.4951292497255446
SolarNordeste,136,0.33549632937112767
SolarNordeste,137,0.17482190581315837
SolarNordeste,138,0.042664311929047065
SolarNordeste,139,3.1064181633664055e-05
SolarNordeste,14,0.7446021642876363
SolarNordeste,140,0.0
SolarNordeste,141,0.0
SolarNordeste,142,0.0
SolarNordeste,143,0.0
SolarNordeste,144,0.0
SolarNordeste,145,0.0
SolarNordeste,146,0.0
SolarNordeste,147,0.0
SolarNordeste,148,0.0
SolarNordeste,149,0.0
SolarNordeste,15,0.5851415317553621
SolarNordeste,150,0.0009815609098034357
SolarNordeste,151,0.07300292985944427
SolarNordeste,152,0.24068252895807385
SolarNordeste,153,0.4255113115419679
SolarNordeste,154,0.5876347653053008
SolarNordeste,155,0.7008027759810975
SolarNordeste,156,0.7473281835525842
SolarNordeste,157,0.7207403515305845
SolarNordeste,158,0.6275810951408585
SolarNordeste,159,0.48651350068544247
SolarNordeste,16,0.38834689396737276
SolarNordeste,160,0.32043875038223685
SolarNordeste,161,0.15530186169227617
SolarNordeste,162,0.027415601924797122
SolarNordeste,163,0.0
SolarNordeste,164,0.0
SolarNordeste,165,0.0
SolarNordeste,166,0.0
SolarNordeste,167,0.0
SolarNordeste,168,0.0
SolarNordeste,169,0.0
SolarNordeste,17,0.18421753187691292
