GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
ESCUELAMINAS,2045,RunOfRiver,Antioquia,Water,55,0,1.52609e+07,2.4079e+06
ESCUELAMINAS,2050,RunOfRiver,Antioquia,Water,55,0,1.52609e+07,2.4079e+06
ESMERALDA,2023,RunOfRiver,Surocciden,Water,30,0,3.5208e+06,1.3134e+06
ESMERALDA,2025,RunOfRiver,Surocciden,Water,30,0,3.5208e+06,1.3134e+06
ESMERALDA,2030,RunOfRiver,Surocciden,Water,30,0,3.5208e+06,1.3134e+06
ESMERALDA,2035,RunOfRiver,Surocciden,Water,30,0,3.5208e+06,1.3134e+06
ESMERALDA,2040,RunOfRiver,Surocciden,Water,30,0,3.5208e+06,1.3134e+06
ESMERALDA,2045,RunOfRiver,Surocciden,Water,30,0,3.5208e+06,1.3134e+06
ESMERALDA,2050,RunOfRiver,Surocciden,Water,30,0,3.5208e+06,1.3134e+06
FLORES 1,2023,Thermal,Caribe,GASIMPOR,160,0,1.88208e+07,2.29152e+07
FLORES 1,2025,Thermal,Caribe,GASIMPOR,160,0,1.88208e+07,2.29152e+07
FLORES 1,2030,Thermal,Caribe,GASIMPOR,160,0,1.88208e+07,2.29152e+07
FLORES 1,2035,Thermal,Caribe,GASIMPOR,160,0,1.88208e+07,2.29152e+07
FLORES 1,2040,Thermal,Caribe,GASIMPOR,160,0,1.88208e+07,2.29152e+07
FLORES 1,2045,Thermal,Caribe,GASIMPOR,160,0,1.88208e+07,2.29152e+07
FLORES 1,2050,Thermal,Caribe,GASIMPOR,160,0,1.88208e+07,2.29152e+07
FLORES4,2023,Thermal,Caribe,GASNACIO,445,0,1.23194e+08,6.37329e+07
FLORES4,2025,Thermal,Caribe,GASNACIO,445,0,1.23194e+08,6.37329e+07
FLORES4,2030,Thermal,Caribe,GASNACIO,445,0,1.23194e+08,6.37329e+07
FLORES4,2035,Thermal,Caribe,GASNACIO,445,0,1.23194e+08,6.37329e+07
FLORES4,2040,Thermal,Caribe,GASNACIO,445,0,1.23194e+08,6.37329e+07
FLORES4,2045,Thermal,Caribe,GASNACIO,445,0,1.23194e+08,6.37329e+07
FLORES4,2050,Thermal,Caribe,GASNACIO,445,0,1.23194e+08,6.37329e+07
GUAJIRA1,2023,Thermal,Caribe,CARBON,145,0,1.71086e+07,2.07669e+07
GUAJIRA1,2025,Thermal,Caribe,CARBON,145,0,1.71086e+07,2.07669e+07
GUAJIRA1,2030,Thermal,Caribe,CARBON,145,0,1.71086e+07,2.07669e+07
GUAJIRA1,2035,Thermal,Caribe,CARBON,145,0,1.71086e+07,2.07669e+07
GUAJIRA1,2040,Thermal,Caribe,CARBON,145,0,1.71086e+07,2.07669e+07
GUAJIRA1,2045,Thermal,Caribe,CARBON,145,0,1.71086e+07,2.07669e+07
GUAJIRA1,2050,Thermal,Caribe,CARBON,145,0,1.71086e+07,2.07669e+07
GUAJIRA2,2023,Thermal,Caribe,CARBON,130,0,1.53621e+07,1.86186e+07
GUAJIRA2,2025,Thermal,Caribe,CARBON,130,0,1.53621e+07,1.86186e+07
GUAJIRA2,2030,Thermal,Caribe,CARBON,130,0,1.53621e+07,1.86186e+07
GUAJIRA2,2035,Thermal,Caribe,CARBON,130,0,1.53621e+07,1.86186e+07
GUAJIRA2,2040,Thermal,Caribe,CARBON,130,0,1.53621e+07,1.86186e+07
GUAJIRA2,2045,Thermal,Caribe,CARBON,130,0,1.53621e+07,1.86186e+07
GUAJIRA2,2050,Thermal,Caribe,CARBON,130,0,1.53621e+07,1.86186e+07
GUATAPE,2023,Hidro,Antioquia,Water,560,0,6.63768e+07,2.45168e+07
GUATAPE,2025,Hidro,Antioquia,Water,560,0,6.63768e+07,2.45168e+07
GUATAPE,2030,Hidro,Antioquia,Water,560,0,6.63768e+07,2.45168e+07
GUATAPE,2035,Hidro,Antioquia,Water,560,0,6.63768e+07,2.45168e+07
GUATAPE,2040,Hidro,Antioquia,Water,560,0,6.63768e+07,2.45168e+07
GUATAPE,2045,Hidro,Antioquia,Water,560,0,6.63768e+07,2.45168e+07
GUATAPE,2050,Hidro,Antioquia,Water,560,0,6.63768e+07,2.45168e+07
GUAVIO,2023,Hidro,Oriental,Water,1250,0,1.48275e+08,5.4725e+07
GUAVIO,2025,Hidro,Oriental,Water,1250,0,1.48275e+08,5.4725e+07
GUAVIO,2030,Hidro,Oriental,Water,1250,0,1.48275e+08,5.4725e+07
GUAVIO,2035,Hidro,Oriental,Water,1250,0,1.48275e+08,5.4725e+07
GUAVIO,2040,Hidro,Oriental,Water,1250,0,1.48275e+08,5.4725e+07
GUAVIO,2045,Hidro,Oriental,Water,1250,0,1.48275e+08,5.4725e+07
GUAVIO,2050,Hidro,Oriental,Water,1250,0,1.48275e+08,5.4725e+07
H_AguaFresca,2023,Hidro,Antioquia,Water,7.29,0,815532,319156
H_AguaFresca,2025,Hidro,Antioquia,Water,7.29,0,815532,319156
H_AguaFresca,2030,Hidro,Antioquia,Water,7.29,0,815532,319156
H_AguaFresca,2035,Hidro,Antioquia,Water,7.29,0,815532,319156
H_AguaFresca,2040,Hidro,Antioquia,Water,7.29,0,815532,319156
H_AguaFresca,2045,Hidro,Antioquia,Water,7.29,0,815532,319156
H_AguaFresca,2050,Hidro,Antioquia,Water,7.29,0,815532,319156
H_Alejandria,2023,Hidro,Antioquia,Water,15,0,1.6794e+06,656700
H_Alejandria,2025,Hidro,Antioquia,Water,15,0,1.6794e+06,656700
H_Alejandria,2030,Hidro,Antioquia,Water,15,0,1.6794e+06,656700
H_Alejandria,2035,Hidro,Antioquia,Water,15,0,1.6794e+06,656700
H_Alejandria,2040,Hidro,Antioquia,Water,15,0,1.6794e+06,656700
H_Alejandria,2045,Hidro,Antioquia,Water,15,0,1.6794e+06,656700
H_Alejandria,2050,Hidro,Antioquia,Water,15,0,1.6794e+06,656700
H_Amaime,2023,Hidro,Surocciden,Water,19.17,0,2.14972e+06,839263
H_Amaime,2025,Hidro,Surocciden,Water,19.17,0,2.14972e+06,839263
H_Amaime,2030,Hidro,Surocciden,Water,19.17,0,2.14972e+06,839263
H_Amaime,2035,Hidro,Surocciden,Water,19.17,0,2.14972e+06,839263
H_Amaime,2040,Hidro,Surocciden,Water,19.17,0,2.14972e+06,839263
H_Amaime,2045,Hidro,Surocciden,Water,19.17,0,2.14972e+06,839263
H_Amaime,2050,Hidro,Surocciden,Water,19.17,0,2.14972e+06,839263
H_Amalfi,2023,Hidro,Antioquia,Water,0.81,0,224751,35461.8
H_Amalfi,2025,Hidro,Antioquia,Water,0.81,0,224751,35461.8
H_Amalfi,2030,Hidro,Antioquia,Water,0.81,0,224751,35461.8
H_Amalfi,2035,Hidro,Antioquia,Water,0.81,0,224751,35461.8
H_Amalfi,2040,Hidro,Antioquia,Water,0.81,0,224751,35461.8
H_Amalfi,2045,Hidro,Antioquia,Water,0.81,0,224751,35461.8
H_Amalfi,2050,Hidro,Antioquia,Water,0.81,0,224751,35461.8
H_America,2023,Hidro,Antioquia,Water,0.41,0,113763,17949.8
H_America,2025,Hidro,Antioquia,Water,0.41,0,113763,17949.8
H_America,2030,Hidro,Antioquia,Water,0.41,0,113763,17949.8
H_America,2035,Hidro,Antioquia,Water,0.41,0,113763,17949.8
H_America,2040,Hidro,Antioquia,Water,0.41,0,113763,17949.8
H_America,2045,Hidro,Antioquia,Water,0.41,0,113763,17949.8
H_America,2050,Hidro,Antioquia,Water,0.41,0,113763,17949.8
H_Asnazu,2023,Hidro,Surocciden,Water,0.45,0,124862,19701
H_Asnazu,2025,Hidro,Surocciden,Water,0.45,0,124862,19701
H_Asnazu,2030,Hidro,Surocciden,Water,0.45,0,124862,19701
H_Asnazu,2035,Hidro,Surocciden,Water,0.45,0,124862,19701
H_Asnazu,2040,Hidro,Surocciden,Water,0.45,0,124862,19701
H_Asnazu,2045,Hidro,Surocciden,Water,0.45,0,124862,19701
H_Asnazu,2050,Hidro,Surocciden,Water,0.45,0,124862,19701
H_AuresBajo,2023,Hidro,Antioquia,Water,19.4,0,5.38292e+06,849332
H_AuresBajo,2025,Hidro,Antioquia,Water,19.4,0,5.38292e+06,849332
H_AuresBajo,2030,Hidro,Antioquia,Water,19.4,0,5.38292e+06,849332
H_AuresBajo,2035,Hidro,Antioquia,Water,19.4,0,5.38292e+06,849332
H_AuresBajo,2040,Hidro,Antioquia,Water,19.4,0,5.38292e+06,849332
H_AuresBajo,2045,Hidro,Antioquia,Water,19.4,0,5.38292e+06,849332
H_AuresBajo,2050,Hidro,Antioquia,Water,19.4,0,5.38292e+06,849332
H_AutCemNare,2023,Hidro,Antioquia,Water,9,0,2.49723e+06,394020
H_AutCemNare,2025,Hidro,Antioquia,Water,9,0,2.49723e+06,394020
H_AutCemNare,2030,Hidro,Antioquia,Water,9,0,2.49723e+06,394020
H_AutCemNare,2035,Hidro,Antioquia,Water,9,0,2.49723e+06,394020
H_AutCemNare,2040,Hidro,Antioquia,Water,9,0,2.49723e+06,394020
H_AutCemNare,2045,Hidro,Antioquia,Water,9,0,2.49723e+06,394020
H_AutCemNare,2050,Hidro,Antioquia,Water,9,0,2.49723e+06,394020
H_Ayura,2023,Hidro,Antioquia,Water,16.7,0,4.63375e+06,731126
H_Ayura,2025,Hidro,Antioquia,Water,16.7,0,4.63375e+06,731126
H_Ayura,2030,Hidro,Antioquia,Water,16.7,0,4.63375e+06,731126
H_Ayura,2035,Hidro,Antioquia,Water,16.7,0,4.63375e+06,731126
H_Ayura,2040,Hidro,Antioquia,Water,16.7,0,4.63375e+06,731126
H_Ayura,2045,Hidro,Antioquia,Water,16.7,0,4.63375e+06,731126
H_Ayura,2050,Hidro,Antioquia,Water,16.7,0,4.63375e+06,731126
H_Barrancas,2023,Hidro,Antioquia,Water,4.7,0,1.30411e+06,205766
H_Barrancas,2025,Hidro,Antioquia,Water,4.7,0,1.30411e+06,205766
H_Barrancas,2030,Hidro,Antioquia,Water,4.7,0,1.30411e+06,205766
H_Barrancas,2035,Hidro,Antioquia,Water,4.7,0,1.30411e+06,205766
H_Barrancas,2040,Hidro,Antioquia,Water,4.7,0,1.30411e+06,205766
H_Barrancas,2045,Hidro,Antioquia,Water,4.7,0,1.30411e+06,205766
H_Barrancas,2050,Hidro,Antioquia,Water,4.7,0,1.30411e+06,205766
H_Barroso,2023,Hidro,Antioquia,Water,19.9,0,2.25308e+06,871222
H_Barroso,2025,Hidro,Antioquia,Water,19.9,0,2.25308e+06,871222
H_Barroso,2030,Hidro,Antioquia,Water,19.9,0,2.25308e+06,871222
H_Barroso,2035,Hidro,Antioquia,Water,19.9,0,2.25308e+06,871222
H_Barroso,2040,Hidro,Antioquia,Water,19.9,0,2.25308e+06,871222
H_Barroso,2045,Hidro,Antioquia,Water,19.9,0,2.25308e+06,871222
H_Barroso,2050,Hidro,Antioquia,Water,19.9,0,2.25308e+06,871222
H_Bayona,2023,Hidro,Surocciden,Water,0.6,0,166482,26268
H_Bayona,2025,Hidro,Surocciden,Water,0.6,0,166482,26268
H_Bayona,2030,Hidro,Surocciden,Water,0.6,0,166482,26268
H_Bayona,2035,Hidro,Surocciden,Water,0.6,0,166482,26268
H_Bayona,2040,Hidro,Surocciden,Water,0.6,0,166482,26268
H_Bayona,2045,Hidro,Surocciden,Water,0.6,0,166482,26268
H_Bayona,2050,Hidro,Surocciden,Water,0.6,0,166482,26268
H_Belmonte,2023,Hidro,Surocciden,Water,3.4,0,943398,148852
H_Belmonte,2025,Hidro,Surocciden,Water,3.4,0,943398,148852
H_Belmonte,2030,Hidro,Surocciden,Water,3.4,0,943398,148852
H_Belmonte,2035,Hidro,Surocciden,Water,3.4,0,943398,148852
H_Belmonte,2040,Hidro,Surocciden,Water,3.4,0,943398,148852
H_Belmonte,2045,Hidro,Surocciden,Water,3.4,0,943398,148852
H_Belmonte,2050,Hidro,Surocciden,Water,3.4,0,943398,148852
H_CampestreC,2023,Hidro,Surocciden,Water,0.7,0,194229,30646
H_CampestreC,2025,Hidro,Surocciden,Water,0.7,0,194229,30646
H_CampestreC,2030,Hidro,Surocciden,Water,0.7,0,194229,30646
H_CampestreC,2035,Hidro,Surocciden,Water,0.7,0,194229,30646
H_CampestreC,2040,Hidro,Surocciden,Water,0.7,0,194229,30646
H_CampestreC,2045,Hidro,Surocciden,Water,0.7,0,194229,30646
H_CampestreC,2050,Hidro,Surocciden,Water,0.7,0,194229,30646
H_Cantayus,2023,Hidro,Antioquia,Water,4.32,0,1.19867e+06,189130
H_Cantayus,2025,Hidro,Antioquia,Water,4.32,0,1.19867e+06,189130
H_Cantayus,2030,Hidro,Antioquia,Water,4.32,0,1.19867e+06,189130
H_Cantayus,2035,Hidro,Antioquia,Water,4.32,0,1.19867e+06,189130
H_Cantayus,2040,Hidro,Antioquia,Water,4.32,0,1.19867e+06,189130
H_Cantayus,2045,Hidro,Antioquia,Water,4.32,0,1.19867e+06,189130
H_Cantayus,2050,Hidro,Antioquia,Water,4.32,0,1.19867e+06,189130
H_Caracoli,2023,RunOfRiver,Antioquia,Water,3.75,0,1.04051e+06,164175
H_Caracoli,2025,RunOfRiver,Antioquia,Water,3.75,0,1.04051e+06,164175
H_Caracoli,2030,RunOfRiver,Antioquia,Water,3.75,0,1.04051e+06,164175
H_Caracoli,2035,RunOfRiver,Antioquia,Water,3.75,0,1.04051e+06,164175
H_Caracoli,2040,RunOfRiver,Antioquia,Water,3.75,0,1.04051e+06,164175
H_Caracoli,2045,RunOfRiver,Antioquia,Water,3.75,0,1.04051e+06,164175
H_Caracoli,2050,RunOfRiver,Antioquia,Water,3.75,0,1.04051e+06,164175
H_Caruquia,2023,Hidro,Antioquia,Water,9.5,0,1.09184e+06,415910
H_Caruquia,2025,Hidro,Antioquia,Water,9.5,0,1.09184e+06,415910
H_Caruquia,2030,Hidro,Antioquia,Water,9.5,0,1.09184e+06,415910
H_Caruquia,2035,Hidro,Antioquia,Water,9.5,0,1.09184e+06,415910
H_Caruquia,2040,Hidro,Antioquia,Water,9.5,0,1.09184e+06,415910
H_Caruquia,2045,Hidro,Antioquia,Water,9.5,0,1.09184e+06,415910
H_Caruquia,2050,Hidro,Antioquia,Water,9.5,0,1.09184e+06,415910
H_Cascada,2023,Hidro,Nordeste,Water,3,0,832410,131340
H_Cascada,2025,Hidro,Nordeste,Water,3,0,832410,131340
H_Cascada,2030,Hidro,Nordeste,Water,3,0,832410,131340
H_Cascada,2035,Hidro,Nordeste,Water,3,0,832410,131340
H_Cascada,2040,Hidro,Nordeste,Water,3,0,832410,131340
H_Cascada,2045,Hidro,Nordeste,Water,3,0,832410,131340
H_Cascada,2050,Hidro,Nordeste,Water,3,0,832410,131340
H_CascadaAbe,2023,Hidro,Antioquia,Water,3,0,832410,131340
H_CascadaAbe,2025,Hidro,Antioquia,Water,3,0,832410,131340
H_CascadaAbe,2030,Hidro,Antioquia,Water,3,0,832410,131340
H_CascadaAbe,2035,Hidro,Antioquia,Water,3,0,832410,131340
H_CascadaAbe,2040,Hidro,Antioquia,Water,3,0,832410,131340
H_CascadaAbe,2045,Hidro,Antioquia,Water,3,0,832410,131340
H_CascadaAbe,2050,Hidro,Antioquia,Water,3,0,832410,131340
H_CascadaAnt,2023,Hidro,Antioquia,Water,2.3,0,638181,100694
H_CascadaAnt,2025,Hidro,Antioquia,Water,2.3,0,638181,100694
H_CascadaAnt,2030,Hidro,Antioquia,Water,2.3,0,638181,100694
H_CascadaAnt,2035,Hidro,Antioquia,Water,2.3,0,638181,100694
H_CascadaAnt,2040,Hidro,Antioquia,Water,2.3,0,638181,100694
H_CascadaAnt,2045,Hidro,Antioquia,Water,2.3,0,638181,100694
