HYDRO_GEN_TPS_1,HYDRO_GEN_TPS_2,SpillHydro
AMOYA,1351,0.0
AMOYA,1352,0.0
AMOYA,1353,0.0
AMOYA,1354,0.0
AMOYA,1355,0.0
AMOYA,1356,0.0
AMOYA,1357,0.0
AMOYA,1358,0.0
AMOYA,1359,0.0
AMOYA,1360,2.1245054489784078e-07
AMOYA,1361,0.0
AMOYA,1362,0.0
AMOYA,1363,0.0
AMOYA,1364,0.0
AMOYA,1365,0.0
AMOYA,1366,0.0
AMOYA,1367,0.0
AMOYA,1368,0.0
AMOYA,1369,0.0
AMOYA,1370,0.0
AMOYA,1371,0.0
AMOYA,1372,0.0
AMOYA,1373,0.0
AMOYA,1374,0.0
AMOYA,1375,0.0
AMOYA,1376,0.0
AMOYA,1377,1.7445617140203945e-07
AMOYA,1378,0.0
AMOYA,1379,0.0
AMOYA,1380,0.0
AMOYA,1381,0.0
AMOYA,1382,0.0
AMOYA,1383,0.0
AMOYA,1384,0.0
AMOYA,1385,0.0
AMOYA,1386,0.0
AMOYA,1387,0.0
AMOYA,1388,0.0
AMOYA,1389,0.0
AMOYA,1390,0.0
AMOYA,1391,0.0
AMOYA,1392,0.0
AMOYA,1393,0.0
AMOYA,1394,0.0
AMOYA,1395,0.0
AMOYA,1396,0.0
AMOYA,1397,0.0
AMOYA,1398,0.0
AMOYA,1399,0.0
AMOYA,1400,0.0
AMOYA,1401,0.0
AMOYA,1402,0.0
AMOYA,1403,0.0
AMOYA,1404,0.0
AMOYA,1405,0.0
AMOYA,1406,0.0
AMOYA,1407,0.0
AMOYA,1408,0.0
AMOYA,1409,0.0
AMOYA,1410,3.472711735132451e-08
AMOYA,1411,0.0
AMOYA,1412,0.0
AMOYA,1413,0.0
AMOYA,1414,0.0
AMOYA,1415,0.0
AMOYA,1416,0.0
AMOYA,1417,0.0
AMOYA,1418,0.0
AMOYA,1419,0.0
AMOYA,1420,0.0
AMOYA,1421,0.0
AMOYA,1422,0.0
AMOYA,1423,0.0
AMOYA,1424,0.0
AMOYA,1425,0.0
AMOYA,1426,0.0
AMOYA,1427,0.0
AMOYA,1428,0.0
AMOYA,1429,0.0
AMOYA,1430,0.0
AMOYA,1431,0.0
AMOYA,1432,0.0
AMOYA,1433,0.0
AMOYA,1434,0.0
AMOYA,1435,0.0
AMOYA,1436,0.0
AMOYA,1437,0.0
AMOYA,1438,1.601791587291081e-07
AMOYA,1439,0.0
AMOYA,1440,0.0
AMOYA,1441,0.0
AMOYA,1442,0.0
AMOYA,1443,0.0
AMOYA,1444,0.0
AMOYA,1445,0.0
AMOYA,1446,0.0
AMOYA,1447,0.0
AMOYA,1448,0.0
AMOYA,1449,0.0
AMOYA,1450,0.0
AMOYA,1451,0.0
AMOYA,1452,0.0
AMOYA,1453,0.0
AMOYA,1454,0.0
AMOYA,1455,0.0
AMOYA,1456,0.0
AMOYA,1457,0.0
AMOYA,1458,0.0
AMOYA,1459,0.0
