GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
BARRANQUILL3,513,GASIMPOR,7.520556379983638e-07
BARRANQUILL3,514,GASIMPOR,7.520522473985492e-07
BARRANQUILL3,515,GASIMPOR,7.520498855015644e-07
BARRANQUILL3,516,GASIMPOR,7.520560985640115e-07
BARRANQUILL3,517,GASIMPOR,7.520672368079393e-07
BARRANQUILL3,518,GASIMPOR,7.520775464570883e-07
BARRANQUILL3,519,GASIMPOR,7.676967338119209e-07
BARRANQUILL3,520,GASIMPOR,7.680706928628261e-07
BARRANQUILL3,521,GASIMPOR,7.682279060033795e-07
BARRANQUILL3,522,GASIMPOR,7.688561473502695e-07
BARRANQUILL3,523,GASIMPOR,7.681867533230658e-07
BARRANQUILL3,524,GASIMPOR,7.688438188268523e-07
BARRANQUILL3,525,GASIMPOR,7.689044791748278e-07
BARRANQUILL3,526,GASIMPOR,7.688535943122888e-07
BARRANQUILL3,527,GASIMPOR,7.682022452528592e-07
BARRANQUILL3,528,GASIMPOR,7.680601782714942e-07
BARRANQUILL3,529,GASIMPOR,1.2483103342611763e-07
BARRANQUILL3,530,GASIMPOR,1.2482921747032797e-07
BARRANQUILL3,531,GASIMPOR,1.2482759302421105e-07
BARRANQUILL3,532,GASIMPOR,1.2482480311033907e-07
BARRANQUILL3,533,GASIMPOR,1.248181856849174e-07
BARRANQUILL3,534,GASIMPOR,1.2482556038891293e-07
BARRANQUILL3,535,GASIMPOR,1.2482704432022728e-07
BARRANQUILL3,536,GASIMPOR,1.2482440619826571e-07
BARRANQUILL3,537,GASIMPOR,1.2482308167162524e-07
BARRANQUILL3,538,GASIMPOR,1.2482399919243527e-07
BARRANQUILL3,539,GASIMPOR,1.2482354785065174e-07
BARRANQUILL3,540,GASIMPOR,1.2482744960418193e-07
BARRANQUILL3,541,GASIMPOR,1.2482937275527872e-07
BARRANQUILL3,542,GASIMPOR,1.2483051797626496e-07
BARRANQUILL3,543,GASIMPOR,1.2483385373285676e-07
BARRANQUILL3,544,GASIMPOR,1.248388949798395e-07
BARRANQUILL3,545,GASIMPOR,1.2484218303631254e-07
BARRANQUILL3,546,GASIMPOR,1.2484094162180164e-07
BARRANQUILL3,547,GASIMPOR,1.2483935825245478e-07
BARRANQUILL3,548,GASIMPOR,1.24852204790665e-07
BARRANQUILL3,549,GASIMPOR,1.248503666338098e-07
BARRANQUILL3,550,GASIMPOR,1.2484222693922084e-07
BARRANQUILL3,551,GASIMPOR,1.24838962863888e-07
BARRANQUILL3,552,GASIMPOR,1.2483399542505953e-07
BARRANQUILL3,553,GASIMPOR,7.740001854608631e-07
BARRANQUILL3,554,GASIMPOR,7.739774773715127e-07
BARRANQUILL3,555,GASIMPOR,7.7396942339538e-07
BARRANQUILL3,556,GASIMPOR,7.739627032848752e-07
BARRANQUILL3,557,GASIMPOR,7.739595382903458e-07
BARRANQUILL3,558,GASIMPOR,7.739650008998972e-07
BARRANQUILL3,559,GASIMPOR,7.739753502752273e-07
BARRANQUILL3,560,GASIMPOR,7.739712576235443e-07
BARRANQUILL3,561,GASIMPOR,7.739732036251904e-07
BARRANQUILL3,562,GASIMPOR,7.73974486641856e-07
BARRANQUILL3,563,GASIMPOR,7.739740505030588e-07
BARRANQUILL3,564,GASIMPOR,7.739820190119356e-07
BARRANQUILL3,565,GASIMPOR,7.739996447962201e-07
BARRANQUILL3,566,GASIMPOR,7.740153569808852e-07
BARRANQUILL3,567,GASIMPOR,7.740883068734003e-07
BARRANQUILL3,568,GASIMPOR,7.742203679153489e-07
BARRANQUILL3,569,GASIMPOR,7.743439442622256e-07
BARRANQUILL3,570,GASIMPOR,7.743014475715155e-07
BARRANQUILL3,571,GASIMPOR,7.742218837140366e-07
BARRANQUILL3,572,GASIMPOR,7.743120306367913e-07
BARRANQUILL3,573,GASIMPOR,7.742691504690057e-07
BARRANQUILL3,574,GASIMPOR,7.742338829113023e-07
BARRANQUILL3,575,GASIMPOR,7.741643263062293e-07
BARRANQUILL3,576,GASIMPOR,7.740432840408582e-07
BARRANQUILL3,1345,GASIMPOR,9.217572756690701e-08
BARRANQUILL3,1346,GASIMPOR,9.21751288260773e-08
BARRANQUILL3,1347,GASIMPOR,9.217476121240976e-08
BARRANQUILL3,1348,GASIMPOR,9.21744930982531e-08
BARRANQUILL3,1349,GASIMPOR,9.217436608079772e-08
BARRANQUILL3,1350,GASIMPOR,9.217434082963143e-08
BARRANQUILL3,1351,GASIMPOR,9.217445644130018e-08
BARRANQUILL3,1352,GASIMPOR,9.21738741941323e-08
BARRANQUILL3,1353,GASIMPOR,9.217331758967764e-08
BARRANQUILL3,1354,GASIMPOR,9.217279938497158e-08
BARRANQUILL3,1355,GASIMPOR,9.217054992257547e-08
BARRANQUILL3,1356,GASIMPOR,9.217228315953584e-08
BARRANQUILL3,1357,GASIMPOR,9.217340141939141e-08
BARRANQUILL3,1358,GASIMPOR,9.217391555994543e-08
BARRANQUILL3,1359,GASIMPOR,9.21746133535469e-08
BARRANQUILL3,1360,GASIMPOR,9.217551740329958e-08
BARRANQUILL3,1361,GASIMPOR,9.217638915771325e-08
BARRANQUILL3,1362,GASIMPOR,9.217664402828116e-08
BARRANQUILL3,1363,GASIMPOR,9.217665218771394e-08
BARRANQUILL3,1364,GASIMPOR,9.217768568938999e-08
BARRANQUILL3,1365,GASIMPOR,9.217966264264903e-08
BARRANQUILL3,1366,GASIMPOR,9.217802633957504e-08
BARRANQUILL3,1367,GASIMPOR,9.217679350971577e-08
BARRANQUILL3,1368,GASIMPOR,9.217641559146507e-08
BARRANQUILL3,1369,GASIMPOR,7.495600700772841e-07
BARRANQUILL3,1370,GASIMPOR,7.49530679149441e-07
BARRANQUILL3,1371,GASIMPOR,7.494899428101592e-07
BARRANQUILL3,1372,GASIMPOR,7.493756342757406e-07
BARRANQUILL3,1373,GASIMPOR,7.371234204833113e-07
BARRANQUILL3,1374,GASIMPOR,7.494097641624324e-07
BARRANQUILL3,1375,GASIMPOR,7.495040988650381e-07
BARRANQUILL3,1376,GASIMPOR,7.370686123020725e-07
BARRANQUILL3,1377,GASIMPOR,7.370314846051702e-07
BARRANQUILL3,1378,GASIMPOR,7.370348013730834e-07
BARRANQUILL3,1379,GASIMPOR,7.370116699686373e-07
BARRANQUILL3,1380,GASIMPOR,7.370319994100164e-07
