GEN_TPS_1,GEN_TPS_2,DispatchGen
AMOYA,1403,39.159990263656105
AMOYA,1404,39.7687192034529
AMOYA,1405,40.5336401724401
AMOYA,1406,40.76670319143954
AMOYA,1407,41.398769835651024
AMOYA,1408,42.199493242847836
AMOYA,1409,42.78558706880503
AMOYA,1410,43.045849059985066
AMOYA,1411,42.827037776545204
AMOYA,1412,43.83964881572283
AMOYA,1413,44.28116229211502
AMOYA,1414,43.88108954322685
AMOYA,1415,43.038221830905265
AMOYA,1416,41.787891741421184
AMOYA,1417,43.47475006883327
AMOYA,1418,41.28813036544226
AMOYA,1419,40.20662308803716
AMOYA,1420,39.33183104360851
AMOYA,1421,38.90701043748179
AMOYA,1422,39.79061000293101
AMOYA,1423,41.13997428372484
AMOYA,1424,40.59911582120239
AMOYA,1425,41.10256309527349
AMOYA,1426,41.70297070337112
AMOYA,1427,41.92172927760887
AMOYA,1428,42.75786280040879
AMOYA,1429,43.718985946298055
AMOYA,1430,43.84937733521359
AMOYA,1431,45.061660695686186
AMOYA,1432,47.142329108670445
AMOYA,1433,48.68493613941262
AMOYA,1434,49.37782768652025
AMOYA,1435,48.52132004171946
AMOYA,1436,50.583182544124504
AMOYA,1437,51.42198983012783
AMOYA,1438,50.40896866522066
AMOYA,1439,48.385946059527534
AMOYA,1440,45.77750525055055
AMOYA,1441,56.47765180373144
AMOYA,1442,55.67951375851355
AMOYA,1443,55.10575420538201
AMOYA,1444,54.65152905669418
AMOYA,1445,54.389972845022704
AMOYA,1446,54.57263497694941
AMOYA,1447,54.76829537787488
AMOYA,1448,54.30777512738004
AMOYA,1449,54.55160929748038
AMOYA,1450,54.8838055159599
AMOYA,1451,55.07302257649419
AMOYA,1452,55.525362609446795
AMOYA,1453,56.08134800969732
AMOYA,1454,56.320796497227605
AMOYA,1455,56.89523989051402
AMOYA,1456,57.70924705239308
AMOYA,1457,58.366195723996235
AMOYA,1458,58.76728007700552
AMOYA,1459,58.49270198845267
AMOYA,1460,59.50923528005643
AMOYA,1461,60.2237753774713
AMOYA,1462,59.83829054049343
AMOYA,1463,58.9202883924552
AMOYA,1464,57.592754427413155
AMOYA,1465,54.81089401964594
AMOYA,1466,53.18624524383211
AMOYA,1467,52.46107886258121
AMOYA,1468,51.83713627186657
AMOYA,1469,51.58812864306667
AMOYA,1470,52.0157441710291
AMOYA,1471,52.57547361123647
AMOYA,1472,52.24272571591409
AMOYA,1473,52.57701683233644
AMOYA,1474,52.93097418524401
AMOYA,1475,53.03409175078857
AMOYA,1476,53.60479578268162
AMOYA,1477,54.4415755200585
AMOYA,1478,54.76982748913826
AMOYA,1479,56.33960637323511
AMOYA,1480,59.3491835703757
AMOYA,1481,61.01450330187687
AMOYA,1482,61.69399866437993
AMOYA,1483,60.69958892389411
AMOYA,1484,62.086472676352784
AMOYA,1485,63.03947172931822
AMOYA,1486,62.36619300851668
AMOYA,1487,60.582268760680385
AMOYA,1488,57.22836519943434
AMOYA,1489,47.625794260586254
AMOYA,1490,46.60252700362537
AMOYA,1491,45.87662385412825
AMOYA,1492,45.29494905857002
AMOYA,1493,44.934703167955746
AMOYA,1494,45.22588710466127
AMOYA,1495,45.58562080817016
AMOYA,1496,45.18373919347175
AMOYA,1497,45.626533380239216
AMOYA,1498,46.08538240963735
AMOYA,1499,46.33293779951906
AMOYA,1500,46.827543431925285
AMOYA,1501,47.39760157009395
AMOYA,1502,47.662950142363414
AMOYA,1503,48.2184493916052
AMOYA,1504,48.98826510489394
AMOYA,1505,49.547082717222416
AMOYA,1506,49.83339755537262
AMOYA,1507,49.88134798473042
AMOYA,1508,51.01070437369439
AMOYA,1509,51.05149102766941
AMOYA,1510,50.62149508447504
AMOYA,1511,49.820130816904424
AMOYA,1512,48.712363182125145
AMOYA,1513,46.3164096936996
AMOYA,1514,41.94024806301705
AMOYA,1515,33.62052192298801
AMOYA,1516,21.513564794921063
AMOYA,1517,14.833152401662046
AMOYA,1518,23.235968256790343
AMOYA,1519,35.79048517105694
AMOYA,1520,34.94968008684573
AMOYA,1521,41.40092088510474
AMOYA,1522,44.56107563499054
AMOYA,1523,45.462116104427274
AMOYA,1524,46.82736998516054
AMOYA,1525,48.44752754350302
AMOYA,1526,48.97777527075389
AMOYA,1527,50.61455635900437
AMOYA,1528,52.48173318840913
