TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Caribe,Antioquia,82,7.598547924526073e-07
Caribe,Antioquia,83,7.60203801630089e-07
Caribe,Antioquia,84,7.391772772984899e-07
Caribe,Antioquia,85,7.313823166836381e-07
Caribe,Antioquia,86,7.232697905751201e-07
Caribe,Antioquia,87,7.162718912755881e-07
Caribe,Antioquia,88,7.129251496874808e-07
Caribe,Antioquia,89,7.087122913195266e-07
Caribe,Antioquia,90,7.088427302254318e-07
Caribe,Antioquia,91,7.130885897315369e-07
Caribe,Antioquia,92,3.639201801562674e-07
Caribe,Antioquia,93,3.6138639946579797e-07
Caribe,Antioquia,94,3.621872158991829e-07
Caribe,Antioquia,95,3.6529279206750945e-07
Caribe,Antioquia,96,3.501436271316405e-07
Caribe,Antioquia,97,8.477920494265397e-08
Caribe,Antioquia,98,1.2903763835479325e-07
Caribe,Antioquia,99,1.300753583711661e-07
Caribe,Antioquia,100,1.3047071638777124e-07
Caribe,Antioquia,101,1.3062985426395892e-07
Caribe,Antioquia,102,1.3054605139476588e-07
Caribe,Antioquia,103,1.301234294208028e-07
Caribe,Antioquia,104,1.2999563675914335e-07
Caribe,Antioquia,105,8.50327526500661e-08
Caribe,Antioquia,106,8.48231933172784e-08
Caribe,Antioquia,107,8.438715007455458e-08
Caribe,Antioquia,108,8.336470136940694e-08
Caribe,Antioquia,109,8.236980522170531e-08
Caribe,Antioquia,110,8.189023260103136e-08
Caribe,Antioquia,111,8.259112387615923e-08
Caribe,Antioquia,112,8.3112023997789e-08
Caribe,Antioquia,113,8.224260111339671e-08
Caribe,Antioquia,114,8.250209657660919e-08
Caribe,Antioquia,115,8.149705732858185e-08
Caribe,Antioquia,116,8.147614170568925e-08
Caribe,Antioquia,117,8.276060862080187e-08
Caribe,Antioquia,118,8.21535724828131e-08
Caribe,Antioquia,119,8.267700980498767e-08
Caribe,Antioquia,120,8.413660858726762e-08
Caribe,Antioquia,121,6.528407541621161e-07
Caribe,Antioquia,122,6.552052782162004e-07
Caribe,Antioquia,123,6.60844131883311e-07
Caribe,Antioquia,124,6.641634061269149e-07
Caribe,Antioquia,125,6.66682907437475e-07
Caribe,Antioquia,126,6.685830178730475e-07
Caribe,Antioquia,127,6.749727942945552e-07
Caribe,Antioquia,128,7.029566637587411e-07
Caribe,Antioquia,129,6.806892986715928e-07
Caribe,Antioquia,130,6.727536564786072e-07
Caribe,Antioquia,131,6.67537709182412e-07
Caribe,Antioquia,132,6.646380211900297e-07
Caribe,Antioquia,133,6.615063659745736e-07
Caribe,Antioquia,134,6.580694337047774e-07
Caribe,Antioquia,135,6.549672602942597e-07
Caribe,Antioquia,136,6.535796652854629e-07
Caribe,Antioquia,137,6.525226011610848e-07
Caribe,Antioquia,138,6.53256874415615e-07
Caribe,Antioquia,139,6.402330454371634e-07
Caribe,Antioquia,140,6.198274362128234e-07
Caribe,Antioquia,141,3.309878916002754e-07
Caribe,Antioquia,142,3.7331385993097203e-07
Caribe,Antioquia,143,6.175818974415048e-07
Caribe,Antioquia,144,6.329393351752816e-07
Caribe,Antioquia,145,1.2073389857237055e-07
Caribe,Antioquia,146,1.2154875467544136e-07
Caribe,Antioquia,147,1.2148821272145625e-07
Caribe,Antioquia,148,1.2182459587158675e-07
Caribe,Antioquia,149,1.2196575800093747e-07
Caribe,Antioquia,150,1.219060832153875e-07
Caribe,Antioquia,151,1.2150048083208058e-07
Caribe,Antioquia,152,1.2141888402196416e-07
Caribe,Antioquia,153,1.214102148352973e-07
Caribe,Antioquia,154,1.2057517347452175e-07
Caribe,Antioquia,155,1.2079434310528012e-07
Caribe,Antioquia,156,1.2099837979559706e-07
Caribe,Antioquia,157,1.1984112517385796e-07
Caribe,Antioquia,158,1.1976311146484153e-07
Caribe,Antioquia,159,1.1935950300503527e-07
Caribe,Antioquia,160,1.1856920892852524e-07
Caribe,Antioquia,161,1.182689916360758e-07
Caribe,Antioquia,162,1.1833986457173838e-07
Caribe,Antioquia,163,1.1847368835277911e-07
Caribe,Antioquia,164,1.0227783433951165e-07
Caribe,Antioquia,165,1.0230801403039258e-07
Caribe,Antioquia,166,1.1717915929464399e-07
Caribe,Antioquia,167,1.1877327152338783e-07
Caribe,Antioquia,168,1.2104379867361522e-07
Caribe,Antioquia,169,7.289514106529646e-07
Caribe,Antioquia,170,7.243311349324689e-07
Caribe,Antioquia,171,7.393713117636593e-07
Caribe,Antioquia,172,7.487013144712843e-07
Caribe,Antioquia,173,7.550918187939516e-07
Caribe,Antioquia,174,7.57922339169126e-07
Caribe,Antioquia,175,7.620657168228351e-07
Caribe,Antioquia,176,7.69892682339579e-07
Caribe,Antioquia,177,7.657237751805566e-07
Caribe,Antioquia,178,7.588551142029794e-07
Caribe,Antioquia,179,7.521164275421643e-07
Caribe,Antioquia,180,7.437293986818832e-07
Caribe,Antioquia,181,7.284341592208307e-07
Caribe,Antioquia,182,7.296879686426527e-07
Caribe,Antioquia,183,7.289031301146395e-07
Caribe,Antioquia,184,7.272107241944858e-07
Caribe,Antioquia,185,7.245332751865944e-07
Caribe,Antioquia,186,7.230392336975932e-07
Caribe,Antioquia,187,7.185749254202375e-07
Caribe,Antioquia,188,4.688933627077393e-07
Caribe,Antioquia,189,4.673844149129294e-07
Caribe,Antioquia,190,4.686830179940225e-07
Caribe,Antioquia,191,4.638510160984249e-07
Caribe,Antioquia,192,7.16725295800128e-07
Antioquia,Nordeste,1,518.6304527211631
Antioquia,Nordeste,2,510.416280558988
Antioquia,Nordeste,3,503.9794165719718
Antioquia,Nordeste,4,498.2719340281197
Antioquia,Nordeste,5,495.20874482395936
Antioquia,Nordeste,6,499.77938657540227
Antioquia,Nordeste,7,508.5043091658056
Antioquia,Nordeste,8,513.9135770209191
Antioquia,Nordeste,9,525.0832046464151
Antioquia,Nordeste,10,534.8698468137363
Antioquia,Nordeste,11,540.7688268882921
Antioquia,Nordeste,12,545.8849242773979
Antioquia,Nordeste,13,549.2847000385074
Antioquia,Nordeste,14,547.7606318116965
Antioquia,Nordeste,15,546.2082041359678
Antioquia,Nordeste,16,545.4143328066361
Antioquia,Nordeste,17,543.4612501044371
Antioquia,Nordeste,18,538.5628198910406
Antioquia,Nordeste,19,534.2687910223988
Antioquia,Nordeste,20,543.3718846110672
Antioquia,Nordeste,21,545.7091583628535
Antioquia,Nordeste,22,539.9684972239935
Antioquia,Nordeste,23,532.6879424362485
Antioquia,Nordeste,24,525.5667591981057
Antioquia,Nordeste,25,528.5628059139109
Antioquia,Nordeste,26,524.4236402738834
Antioquia,Nordeste,27,518.2166287063353
Antioquia,Nordeste,28,512.7345491930427
Antioquia,Nordeste,29,508.0735220352125
Antioquia,Nordeste,30,505.7873835643006
Antioquia,Nordeste,31,503.1492553666929
Antioquia,Nordeste,32,494.8349286802311
Antioquia,Nordeste,33,503.1758358617834
Antioquia,Nordeste,34,517.2417109104532
Antioquia,Nordeste,35,528.6693296167692
Antioquia,Nordeste,36,537.2186076164336
Antioquia,Nordeste,37,543.2113308274664
Antioquia,Nordeste,38,545.1477969145504
Antioquia,Nordeste,39,543.5039609025556
Antioquia,Nordeste,40,540.0334506898756
Antioquia,Nordeste,41,537.1167741858935
Antioquia,Nordeste,42,534.3349500551346
Antioquia,Nordeste,43,534.0407365407206
Antioquia,Nordeste,44,549.5569908821002
Antioquia,Nordeste,45,555.2181212559843
Antioquia,Nordeste,46,552.300041122121
Antioquia,Nordeste,47,546.0926810100593
Antioquia,Nordeste,48,538.288453131999
Antioquia,Nordeste,49,325.33684648066037
Antioquia,Nordeste,50,283.29224263168624
Antioquia,Nordeste,51,252.90899008004553
Antioquia,Nordeste,52,230.82852477544964
Antioquia,Nordeste,53,220.58262327538213
Antioquia,Nordeste,54,239.32716828646755
Antioquia,Nordeste,55,276.53937970612026
Antioquia,Nordeste,56,280.4791205941671
Antioquia,Nordeste,57,319.39220679049777
Antioquia,Nordeste,58,345.74996541973485
Antioquia,Nordeste,59,353.74634780053634
Antioquia,Nordeste,60,362.8099494859995
Antioquia,Nordeste,61,369.29237297519273
Antioquia,Nordeste,62,366.55021904151937
Antioquia,Nordeste,63,366.3510229692533
Antioquia,Nordeste,64,368.2924988229329
Antioquia,Nordeste,65,367.19521975158375
Antioquia,Nordeste,66,360.9555530385963
Antioquia,Nordeste,67,353.71165787667235
Antioquia,Nordeste,68,366.7123325399259
Antioquia,Nordeste,69,373.43552862871746
Antioquia,Nordeste,70,365.5169623778466
Antioquia,Nordeste,71,352.9220484665142
Antioquia,Nordeste,72,338.26843605502665
Antioquia,Nordeste,73,432.71142295713094
Antioquia,Nordeste,74,430.52307368346425
Antioquia,Nordeste,75,417.0510647774387
Antioquia,Nordeste,76,406.39051451893346
Antioquia,Nordeste,77,399.16608285651654
Antioquia,Nordeste,78,395.98150143512186
Antioquia,Nordeste,79,390.49204628525297
Antioquia,Nordeste,80,350.737358919391
Antioquia,Nordeste,81,374.54189812643193
