GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
TEBSAB,2024,Thermal,Caribe,GASNACIO,0,0,0
TEQUEND1-4,2023,Hidro,Oriental,Water,0,0,0
TEQUEND1-4,2024,Hidro,Oriental,Water,0,0,0
TERMO YOPAL2,2023,Thermal,Nordeste,GASNACIO,0,0,0
TERMO YOPAL2,2024,Thermal,Nordeste,GASNACIO,0,0,0
TERMOCENTRO,2023,Thermal,Antioquia,GASNACIO,0,0,0
TERMOCENTRO,2024,Thermal,Antioquia,GASNACIO,0,0,0
TERMODORADA1,2023,Thermal,Surocciden,ACPM,0,0,0
TERMODORADA1,2024,Thermal,Surocciden,ACPM,0,0,0
TERMOEMCALI,2023,Thermal,Surocciden,ACPM,0,0,0
TERMOEMCALI,2024,Thermal,Surocciden,ACPM,0,0,0
TERMONORTE,2023,Thermal,Caribe,ACPM,0,0,0
TERMONORTE,2024,Thermal,Caribe,ACPM,0,0,0
TERMOSIERRA,2023,Thermal,Antioquia,ACPM,0,0,0
TERMOSIERRA,2024,Thermal,Antioquia,ACPM,0,0,0
TERMOVALLE,2023,Thermal,Surocciden,ACPM,0,0,0
TERMOVALLE,2024,Thermal,Surocciden,ACPM,0,0,0
TERMOYOPALG3,2023,Thermal,Nordeste,GASNACIO,0,0,0
TERMOYOPALG3,2024,Thermal,Nordeste,GASNACIO,0,0,0
TERMOYOPALG4,2023,Thermal,Nordeste,GASNACIO,0,0,0
TERMOYOPALG4,2024,Thermal,Nordeste,GASNACIO,0,0,0
TERMOYOPALG5,2023,Thermal,Nordeste,GASNACIO,0,0,0
TERMOYOPALG5,2024,Thermal,Nordeste,GASNACIO,0,0,0
URRA,2023,Hidro,Caribe,Water,0,0,0
URRA,2024,Hidro,Caribe,Water,0,0,0
ZIPAEMG2,2023,Thermal,Oriental,CARBON,0,0,0
ZIPAEMG2,2024,Thermal,Oriental,CARBON,0,0,0
ZIPAEMG3,2023,Thermal,Oriental,CARBON,0,0,0
ZIPAEMG3,2024,Thermal,Oriental,CARBON,0,0,0
ZIPAEMG4,2023,Thermal,Oriental,CARBON,0,0,0
ZIPAEMG4,2024,Thermal,Oriental,CARBON,0,0,0
ZIPAEMG5,2023,Thermal,Oriental,CARBON,0,0,0
ZIPAEMG5,2024,Thermal,Oriental,CARBON,0,0,0
E_Wesp01,2023,Eolica,Caribe,Wind,0,0,0
E_Wesp01,2024,Eolica,Caribe,Wind,0,0,0
E_GuajiraI,2023,Eolica,Caribe,Wind,20,0,3.436e+07
E_GuajiraI,2024,Eolica,Caribe,Wind,0,0,0
S_Cabelleros,2023,pv_solar,Surocciden,Solar,0,0,0
S_Cabelleros,2024,pv_solar,Surocciden,Solar,0,0,0
S_Montelibano,2023,pv_solar,Caribe,Solar,0,0,0
S_Montelibano,2024,pv_solar,Caribe,Solar,0,0,0
S_Lanceros,2023,pv_solar,Oriental,Solar,9.1,0,1.20757e+07
S_Lanceros,2024,pv_solar,Oriental,Solar,0,0,0
S_SanFelipe,2023,pv_solar,Oriental,Solar,9.1,0,1.20757e+07
S_SanFelipe,2024,pv_solar,Oriental,Solar,0,0,0
S_Cienaguero,2023,pv_solar,Caribe,Solar,9,0,1.1943e+07
S_Cienaguero,2024,pv_solar,Caribe,Solar,0,0,0
S_Yuma,2023,pv_solar,Oriental,Solar,9.1,0,1.20757e+07
S_Yuma,2024,pv_solar,Oriental,Solar,0,0,0
S_Tucanes,2023,pv_solar,Caribe,Solar,0,0,0
S_Tucanes,2024,pv_solar,Caribe,Solar,0,0,0
S_Paila,2023,pv_solar,Surocciden,Solar,0,0,0
S_Paila,2024,pv_solar,Surocciden,Solar,0,0,0
S_Aurora,2023,pv_solar,Caribe,Solar,0,0,0
S_Aurora,2024,pv_solar,Caribe,Solar,0,0,0
S_Cerrito,2023,pv_solar,Surocciden,Solar,0,0,0
