generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,ChargeStorage_MW,Store_GWh_typical_yr,Discharge_GWh_typical_yr,is_storage
AMOYA,2023_Q2_holidays_7h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,49.730006756802844,0.6482661595083228,901.0899617165686,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_8h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,49.93854044544064,0.6509845450923512,904.8685176783681,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_9h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,50.2461981348794,0.6549950828296779,910.4431651332523,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_10h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,50.537199676594916,0.6587884957841837,915.7160091400153,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_11h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,50.79658861411814,0.6621698158626115,920.41604404903,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_12h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,51.04875338965775,0.6654569638294671,924.9851797229592,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_13h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,51.212129775494915,0.667586691716273,927.9455014856195,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_14h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,51.30276097179721,0.6687681340966423,929.5877063943327,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_15h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,51.31544665169881,0.6689335009953594,929.8175663835497,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_16h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,51.338785801775046,0.6692377434874247,930.2404634475204,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_17h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,51.38030133275485,0.6697789280876971,930.9927100418989,0.0,80.0,8978400.293696908,3502400.0,,,,False
AMOYA,2023_Q2_holidays_18h,AMOYA,RunOfRiver,Surocciden,Water,13.035714285714286,2023,51.44984397593134,0.6706854661148193,932.2527978995987,0.0,80.0,8978400.293696908,3502400.0,,,,False
