,Values_Code,Values_Name,Values_Type,Values_Disp,Values_RecType,Values_EnerSource,Values_OperStartdate,Values_State,Value
72,3AL4,AGPE PLASTICOS MINIPET,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-12-31,OPERACION,235.0
73,3AL6,AGPE ENTREPALMAS,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,BIOGAS,2020-12-31,OPERACION,500.0
74,3ANH,AGPE PAPEL CARD,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-01-07,OPERACION,50.0
75,3AOY,AGPE FODUN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-01-14,OPERACION,7.0
76,3AQP,CAUYA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2022-04-25,OPERACION,1510.0
77,3AR2,AGPE I.A. INGENIERIA EN ALIMENTOS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-02-04,OPERACION,14.9
78,3AWC,AGPE PROYECTO SOLAR EL ARRIERO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-02-25,OPERACION,45.0
79,3AXV,AGPE INGENIO DE OCCIDENTE,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,BAGAZO,2021-03-03,OPERACION,1000.0
80,3B4G,AGPE CLODEL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-03-18,OPERACION,20.0
81,3B4L,GRANJA SOLAR BELMONTE,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2021-04-30,OPERACION,5060.0
82,3BCM,AGPE MUNDO GUARIGUA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-04-08,OPERACION,22.0
83,3BCR,AGPE ALURACK,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-04-08,OPERACION,5.2
84,3BFL,AGPE TOSTADITOS SUSANITA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-04-29,OPERACION,70.8
85,3BFN,AGPE FERBIENES,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-04-29,OPERACION,147.0
86,3BJG,AGPE NATALIA RAMIREZ,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-05-06,OPERACION,4.3
87,3BJN,AGPE EDUARDO BOTERO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-05-13,OPERACION,3.6
88,3BJP,AGPE AGROMONTE POSCOSECHA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-05-13,OPERACION,48.0
89,3BJR,AGPE AGRODEX,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-05-13,OPERACION,25.0
90,3BM1,AGPE SOCODA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-05-20,OPERACION,270.0
91,3BNL,AGPE COLOMBOALEMANA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-05-27,OPERACION,70.0
92,3BPX,AGPE DATECSA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-06-03,OPERACION,80.0
93,3BXX,AGPE JUAN CARLOS VILLA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-07-15,OPERACION,10.0
94,3BYG,AGPE SUPERMERCADO EL PROVEEDOR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-07-22,OPERACION,130.0
95,3BZB,CELSIA SOLAR LA PAILA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2021-08-07,OPERACION,9900.0
96,3C3B,AGPE ANDRES GOMEZ,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-08-12,OPERACION,4.6
97,3C3D,AGPE CARLOS ENRIQUE VELEZ,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-08-12,OPERACION,4.2
98,3C3X,AUTOG INGENIO MARIA LUISA,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,BAGAZO,2021-08-31,OPERACION,1800.0
99,3C3Z,LA SIERPE,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2021-09-25,OPERACION,19900.0
100,3C4J,AGPE CC PREMIUM PLAZA PH 70973,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-10-22,OPERACION,100.0
101,3C4L,AGPE CC PREMIUM PLAZA PH 70970,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-10-22,OPERACION,60.0
102,3C4N,AGPE CC PREMIUM PLAZA PH 64929,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-10-22,OPERACION,60.0
103,3C4P,AGPE CC PREMIUM PLAZA PH 70972,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-10-22,OPERACION,60.0
104,3C4R,AGPE CC PREMIUM PLAZA PH 70971,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2020-10-29,OPERACION,100.0
105,3C4T,AGPE AGROMONTE CASA DE PEDRO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-08-19,OPERACION,15.0
106,3C4V,AUTOG TERMOTAME,TERMICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,GAS,2021-09-02,OPERACION,5000.0
107,3CC3,AGPE CASA RICHARD - MALIBU,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-09-09,OPERACION,15.0
108,3CCW,AGPE FIRPLAK,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-09-09,OPERACION,72.0
109,3CDX,AGPE AVICOLA EL MANATIAL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-08-31,OPERACION,30.0
110,3CG9,LA CHORRERA,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,AGUA,2022-05-31,OPERACION,15000.0
111,3CL1,AGPE 125 GT CARRERA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-09-30,OPERACION,96.0
112,3CSH,GY SOLAR AURORA,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,RAD SOLAR,2022-08-11,OPERACION,9900.0
113,3CUW,AGPE PEDRO LEMUS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-11-11,OPERACION,25.0
114,3D3O,AGPE CLINICA SANTA ANA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-11-25,OPERACION,90.0
115,3D6C,AGPE LICORES DE CUNDINAMARCA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-12-02,OPERACION,140.0
116,3D8B,AGPE INVERSIONES GLP,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-12-09,OPERACION,43.79999999999999
117,3D8D,AGPE BIOEMPACK,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-12-09,OPERACION,94.40000000000002
118,3D8F,AGPE NOVATRONICA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-12-09,OPERACION,8.3
119,3DBG,AGPE MANUFACTURAS VICO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-12-16,OPERACION,36.0
120,3DBI,AGPE ALVARO HOYOS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-12-16,OPERACION,10.0
121,3DGL,AGPE ERIKA MEJIA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2021-12-30,OPERACION,7.0
122,3DIH,AGPE UNIDROGAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-01-13,OPERACION,144.0
123,3DIJ,AGPE CASA VALENTINA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,RAD SOLAR,2022-01-13,OPERACION,72.0
